species,long,lat
Albertinia_brasiliensis,-37.343056,-10.753889
Albertinia_brasiliensis,-40.584444,-20.043611
Albertinia_brasiliensis,-37.448333,-11.350833
Albertinia_brasiliensis,-40.328611,-10.529167
Albertinia_brasiliensis,-38.996667,-14.2775
Albertinia_brasiliensis,-39,-14.133333
Albertinia_brasiliensis,-39.039072,-15.159747
Albertinia_brasiliensis,-40.5180838,-11.1844226
Albertinia_brasiliensis,-37.458333,-11.140833
Albertinia_brasiliensis,-37.206389,-11.014722
Albertinia_brasiliensis,-37.054167,-10.789167
Albertinia_brasiliensis,-37.811111,-10.738333
Albertinia_brasiliensis,-39.15,-14.1314
Albertinia_brasiliensis,-41.16582,-15.36257
Albertinia_brasiliensis,-39.603333,-14.705833
Albertinia_brasiliensis,-37.048911,-10.620061
Albertinia_brasiliensis,-39.6,-13.016667
Albertinia_brasiliensis,-39.013333,-12.005833
Albertinia_brasiliensis,-40.350278,-19.911667
Albertinia_brasiliensis,-41,-12
Albertinia_brasiliensis,-40.533333,-19.95
Albertinia_brasiliensis,-40.768611,-11.774167
Albertinia_brasiliensis,-37.9625,-12.170278
Albertinia_brasiliensis,-39.491389,-13.601667
Albertinia_brasiliensis,-40.464167,-19.283889
Albertinia_brasiliensis,-42.64735,-22.531489
Albertinia_brasiliensis,-42.4,-13.75
Albertinia_brasiliensis,-36.962331,-9.874869
Albertinia_brasiliensis,-37.542222,-11.649167
Albertinia_brasiliensis,-37.432222,-11.365556
Albertinia_brasiliensis,-37.906389,-11.776667
Albertinia_brasiliensis,-37.933333,-11.933333
Albertinia_brasiliensis,-38.42,-12.951667
Albertinia_brasiliensis,-41.166667,-12.683333
Albertinia_brasiliensis,-42.2,-13.983333
Albertinia_brasiliensis,-39.016667,-16.266667
Albertinia_brasiliensis,-38.24,-12.35
Albertinia_brasiliensis,-41.798611,-13.32
Albertinia_brasiliensis,-41.76,-13.604444
Albertinia_brasiliensis,-41.815278,-13.603889
Albertinia_brasiliensis,-41.834167,-13.841667
Albertinia_brasiliensis,-41.22,-13.58
Albertinia_brasiliensis,-40.620556,-19.931111
Albertinia_brasiliensis,-40.530278,-19.971389
Albertinia_brasiliensis,-40.533181,-19.953056
Albertinia_brasiliensis,-40.589167,-19.922222
Albertinia_brasiliensis,-40.553056,-19.9075
Albertinia_brasiliensis,-36.721442,-9.376328
Albertinia_brasiliensis,-37.588417,-10.159306
Albertinia_brasiliensis,-40.140556,-11.116944
Albertinia_brasiliensis,-42.9657513,-22.4160521
Albertinia_brasiliensis,-40.437778,-20.0975
Albertinia_brasiliensis,-40.801273,-14.886848
Albertinia_brasiliensis,-37.310278,-10.998333
Albertinia_brasiliensis,-40.483333,-12.033333
Albertinia_brasiliensis,-40.96167,-11.65194
Albertinia_brasiliensis,-42.133333,-11.866667
Albertinia_brasiliensis,-36.793286,-9.538225
Albertinia_brasiliensis,-40.483333,-11.3
Albertinia_brasiliensis,-36.445917,-9.230181
Albertinia_brasiliensis,-42.549722,-14.697778
Albertinia_brasiliensis,-41.3,-12.25
Albertinia_brasiliensis,-40.792778,-14.880278
Albertinia_brasiliensis,-39.522778,-14.213889
Albertinia_brasiliensis,-43.448386,-22.913514
Albertinia_brasiliensis,-38.408611,-12.931111
Albertinia_brasiliensis,-41.283672,-11.890347
Albertinia_brasiliensis,-36.786389,-9.541361
Albertinia_brasiliensis,-42.6,-11.816667
Albertinia_brasiliensis,-39.6325,-13.618889
Albertinia_brasiliensis,-42.573889,-14.740833
Albertinia_brasiliensis,-38.591775,-12.440517
Albertinia_brasiliensis,-37.031111,-10.525833
Albertinia_brasiliensis,-41.7625,-16.021944
Albertinia_brasiliensis,-41.282778,-15.607222
Albertinia_brasiliensis,-37.143611,-10.843056
Albertinia_brasiliensis,-37.474722,-11.031944
Albertinia_brasiliensis,-42.5475,-14.256389
Albertinia_brasiliensis,-41.461389,-10.326944
Albertinia_brasiliensis,-41.76,-13.604722
