species,long,lat
Centratherum_punctatum,-54.576764,-25.547229
Centratherum_punctatum,-77.810547,-0.925004
Centratherum_punctatum,-62,-16.03333
Centratherum_punctatum,-63.6583,-17.43
Centratherum_punctatum,-59.067165,4.175137
Centratherum_punctatum,-86.535443,13.778731
Centratherum_punctatum,-52.447244,4.993994
Centratherum_punctatum,-66.26,18.0191
Centratherum_punctatum,-66.7178,18.3328
Centratherum_punctatum,-99.915,16.87833
Centratherum_punctatum,-89.483497,-0.89275
Centratherum_punctatum,-106.848602,23.866032
Centratherum_punctatum,2.67,6.388333
Centratherum_punctatum,-86.183648,11.844564
Centratherum_punctatum,-89.521903,-0.887188
Centratherum_punctatum,-86.322624,15.793854
Centratherum_punctatum,-106.279999,23.121111
Centratherum_punctatum,-49.45582,-18.964134
Centratherum_punctatum,-53.814015,-25.876384
Centratherum_punctatum,-48.60001,-27.088753
Centratherum_punctatum,-48.570086,-25.538641
Centratherum_punctatum,-48.755926,-26.021469
Centratherum_punctatum,-35.691389,-6.963333
Centratherum_punctatum,-36.272222,-7.390833
Centratherum_punctatum,-36.287222,-7.489167
Centratherum_punctatum,-35.881111,-7.230833
Centratherum_punctatum,-35.683333,-6.45
Centratherum_punctatum,-36.721306,-6.959444
Centratherum_punctatum,-45.583333,-23.583333
Centratherum_punctatum,-96.963665,18.812023
Centratherum_punctatum,-103.390373,20.704886
Centratherum_punctatum,-105.291591,20.464166
Centratherum_punctatum,-97.153191,18.814486
Centratherum_punctatum,-54.629926,-26.409187
Centratherum_punctatum,-83.472778,9.102778
Centratherum_punctatum,-83.645833,9.340278
Centratherum_punctatum,1.3822,10.3002
Centratherum_punctatum,-106.047853,23.24583
Centratherum_punctatum,-74.83737,6.30317
Centratherum_punctatum,-42.246667,-8.358056
Centratherum_punctatum,-91.1249,-0.8137
Centratherum_punctatum,-90.312397,-0.743119
Centratherum_punctatum,-89.431888,-0.911972
Centratherum_punctatum,-90.326416,-0.753983
Centratherum_punctatum,-51.342778,-23.998695
Centratherum_punctatum,-87.011695,14.011314
Centratherum_punctatum,-48.276383,-18.940625
Centratherum_punctatum,-84.802795,10.286362
Centratherum_punctatum,-79.736895,-3.335915
Centratherum_punctatum,-94.017,18.183
Centratherum_punctatum,-55.65,-27.44
Centratherum_punctatum,-97.087492,17.511831
Centratherum_punctatum,120.363309,22.629389
Centratherum_punctatum,120.344768,22.663977
Centratherum_punctatum,-79.294722,9.083333
Centratherum_punctatum,-80.116667,8.575
Centratherum_punctatum,-37.79,-11.273889
Centratherum_punctatum,-36.4,-8.333333
Centratherum_punctatum,145.326108,-16.640136
Centratherum_punctatum,-74.772997,10.982472
Centratherum_punctatum,-69.883333,9.158333
Centratherum_punctatum,-101.480516,19.141576
Centratherum_punctatum,-92.574827,15.845006
Centratherum_punctatum,-36.103889,-6.116111
Centratherum_punctatum,-38.833333,-6.75
Centratherum_punctatum,-43.224277,-22.919735
Centratherum_punctatum,-47.559872,-22.416083
Centratherum_punctatum,-89.481467,-0.895295
Centratherum_punctatum,-65.5826324,-1.8594503
Centratherum_punctatum,-106.686638,24.423597
Centratherum_punctatum,-96.860443,18.8557
Centratherum_punctatum,-106.255562,23.32728
Centratherum_punctatum,-97.5103,20.0867
Centratherum_punctatum,-37.448333,-11.350833
Centratherum_punctatum,-40.054444,-16.403611
Centratherum_punctatum,-39.408056,-15.202778
Centratherum_punctatum,-45.362778,-11.053333
Centratherum_punctatum,121.758968,24.624949
Centratherum_punctatum,121.663162,25.085081
Centratherum_punctatum,-91.249596,14.722892
Centratherum_punctatum,-75.56368,6.327551
Centratherum_punctatum,-44.534444,-14.183889
Centratherum_punctatum,-47.2304222,-13.4536716
Centratherum_punctatum,-44.721097,-15.634578
Centratherum_punctatum,-78.15,-2.52
Centratherum_punctatum,-37.262139,-8.359056
Centratherum_punctatum,-37.268056,-8.582778
Centratherum_punctatum,-76.156884,-5.902427
Centratherum_punctatum,-54.70504,-25.074629
Centratherum_punctatum,-56.43525,-27.605675
Centratherum_punctatum,-89.535933,-0.887028
Centratherum_punctatum,-77.28333,5.31666
Centratherum_punctatum,-82.861196,9.516981
Centratherum_punctatum,-66.58097,18.274937
Centratherum_punctatum,-89.479829,-0.89519
Centratherum_punctatum,-89.481435,-0.894368
Centratherum_punctatum,-89.483694,-0.892554
Centratherum_punctatum,-56.444722,-21.411667
Centratherum_punctatum,-46.608889,-23.726111
Centratherum_punctatum,-40.050278,-15.101944
Centratherum_punctatum,-45.135833,-23.324167
Centratherum_punctatum,-79.584862,-3.411271
Centratherum_punctatum,-39.455,-8.545556
Centratherum_punctatum,-89.516555,-0.900288
Centratherum_punctatum,-46.513056,-13.505278
Centratherum_punctatum,-47.55,-16.766667
Centratherum_punctatum,-38.969094,-12.200165
Centratherum_punctatum,-73.875228,3.362653
Centratherum_punctatum,-35.201111,-5.840833
Centratherum_punctatum,-44.46,-4.5
Centratherum_punctatum,-68.083333,-14.233333
Centratherum_punctatum,-38.716667,-8.133333
Centratherum_punctatum,-37.392592,-9.559258
Centratherum_punctatum,-38.716667,-8.05
Centratherum_punctatum,-40.818722,-3.962417
Centratherum_punctatum,-37.855194,-8.493694
Centratherum_punctatum,-38.725583,-7.432111
Centratherum_punctatum,-39.408361,-8.007388
Centratherum_punctatum,-37.580444,-8.050305
Centratherum_punctatum,-44.099722,-13.14
Centratherum_punctatum,-58.03,-28.36
Centratherum_punctatum,-56.71667,-27.01667
Centratherum_punctatum,-56.23,-28.21
Centratherum_punctatum,-77.098298,-12.078832
Centratherum_punctatum,-43.447595,-22.90273
Centratherum_punctatum,-89.481608,-0.895291
Centratherum_punctatum,-45.929722,-9.110833
Centratherum_punctatum,-54.440816,-25.690864
Centratherum_punctatum,151.251068,-24.081754
Centratherum_punctatum,-40.209722,-10.366389
Centratherum_punctatum,-61.14444,-14.405
Centratherum_punctatum,-67.616944,-8.280556
Centratherum_punctatum,-106.702995,24.41433
Centratherum_punctatum,-105.21982,20.594178
Centratherum_punctatum,-42.543611,-16.354722
Centratherum_punctatum,121.116783,24.763558
Centratherum_punctatum,150.25,-34
Centratherum_punctatum,-98.954825,21.267358
Centratherum_punctatum,-66.629814,18.4809
Centratherum_punctatum,-79.849,9.0108
Centratherum_punctatum,-82.422463,8.601216
Centratherum_punctatum,-82.422451,8.601142
Centratherum_punctatum,-106.215311,23.187335
Centratherum_punctatum,-36.484105,-8.889498
Centratherum_punctatum,-36.485731,-8.889477
Centratherum_punctatum,-36.48422,-8.889551
Centratherum_punctatum,-36.485767,-8.890758
Centratherum_punctatum,-36.483632,-8.88979
Centratherum_punctatum,-47.512683,-22.39283
Centratherum_punctatum,-43.686962,-22.768821
Centratherum_punctatum,-47.526011,-22.413748
Centratherum_punctatum,-43.358889,-22.870278
Centratherum_punctatum,-56.05,-22.67
Centratherum_punctatum,-56.05,-22.66666
Centratherum_punctatum,153.27,-28.82
Centratherum_punctatum,153.35,-28.77
Centratherum_punctatum,-52.397876,-3.271835
Centratherum_punctatum,152.95,-27.4333
Centratherum_punctatum,153.009394,-27.440069
Centratherum_punctatum,-56.01667,-25.45
Centratherum_punctatum,-55.546389,-20.474167
Centratherum_punctatum,-56.505306,-16.341111
Centratherum_punctatum,-79.908887,-6.706203
Centratherum_punctatum,-54.223056,-26.920833
Centratherum_punctatum,-56.733333,-27.723611
Centratherum_punctatum,-37.206389,-11.014722
Centratherum_punctatum,-47.607833,-22.630917
Centratherum_punctatum,-44.993055,-8.880833
Centratherum_punctatum,-40.306389,-6.5945
Centratherum_punctatum,-43.385555,-9.241389
Centratherum_punctatum,-41.468611,-6.8525
Centratherum_punctatum,-43.516667,-9.211389
Centratherum_punctatum,-43.597778,-9.138889
Centratherum_punctatum,-44.916667,-8.65
Centratherum_punctatum,-42.715,-22.5075
Centratherum_punctatum,-42.598611,-5.636389
Centratherum_punctatum,-42.608611,-6.640833
Centratherum_punctatum,-45.006111,-8.92
Centratherum_punctatum,-45.291111,-8.677222
Centratherum_punctatum,-44.934444,-8.849444
Centratherum_punctatum,-38.874236,-7.612683
Centratherum_punctatum,-43.463056,-15.709167
Centratherum_punctatum,-56.25,-25.91666
Centratherum_punctatum,-55.33333,-26.16666
Centratherum_punctatum,-54.63333,-25.38333
Centratherum_punctatum,-57.48333,-25.35
Centratherum_punctatum,-39.06,-7.74
Centratherum_punctatum,-40.32,-7.2
Centratherum_punctatum,-54.586111,-25.515833
Centratherum_punctatum,153.3667,-28.8667
Centratherum_punctatum,153.2667,-28.8167
Centratherum_punctatum,153.35,-28.7667
Centratherum_punctatum,-41.333056,-13.615556
Centratherum_punctatum,-40.545278,-11.018611
Centratherum_punctatum,-38.212447,-9.410407
Centratherum_punctatum,-36.610478,-10.523581
Centratherum_punctatum,-36.423611,-10.319289
Centratherum_punctatum,-36.266667,-10.038889
Centratherum_punctatum,-36.298883,-10.215556
Centratherum_punctatum,-37.457153,-10.273733
Centratherum_punctatum,151.009403,-24.990084
Centratherum_punctatum,152.209388,-24.940082
Centratherum_punctatum,152.826064,-26.590074
Centratherum_punctatum,148.959422,-21.040103
Centratherum_punctatum,151.192736,-24.540084
Centratherum_punctatum,152.5167,-29.3
Centratherum_punctatum,-62.05,-16.48
Centratherum_punctatum,152.917736,-27.415073
Centratherum_punctatum,-4.033,5.317
Centratherum_punctatum,-39.039317,-16.289196
Centratherum_punctatum,-39.049444,-14.788889
Centratherum_punctatum,-54.133759,-25.531134
Centratherum_punctatum,-54.451215,-25.685352
Centratherum_punctatum,-53.88,-26.89
Centratherum_punctatum,-53.88333,-27.06666
Centratherum_punctatum,-54.141042,3.816364
Centratherum_punctatum,-53.856389,-24.946111
Centratherum_punctatum,-89.4167,-0.8083
Centratherum_punctatum,-89.483603,-0.892734
Centratherum_punctatum,-88.258606,14.268773
Centratherum_punctatum,-87.905479,14.874386
Centratherum_punctatum,-87.011751,14.011565
Centratherum_punctatum,-35.969372,-7.276206
Centratherum_punctatum,-35.728817,-7.073174
Centratherum_punctatum,-46.65645,-23.589188
Centratherum_punctatum,-57,-26
Centratherum_punctatum,-54.28333,-24.03333
Centratherum_punctatum,-75.59408,5.308295
Centratherum_punctatum,-75.604684,5.337236
Centratherum_punctatum,153.55,-28.22
Centratherum_punctatum,152.6,-31.8167
Centratherum_punctatum,-62.78,-14.73
Centratherum_punctatum,-38.982861,-4.194778
Centratherum_punctatum,152.77,-27.32
Centratherum_punctatum,152.1167,-26.8667
Centratherum_punctatum,153.02,-28.97
Centratherum_punctatum,-58.756833,-11.405306
Centratherum_punctatum,-53.98,-26.52
Centratherum_punctatum,-54.96,-27.1
Centratherum_punctatum,-54.81,-27.11
Centratherum_punctatum,-54.92,-26.88
Centratherum_punctatum,-54.963333,-27.101667
Centratherum_punctatum,-52.34367,4.83141
Centratherum_punctatum,-47.541111,-22.403056
Centratherum_punctatum,-54.362222,-24.846944
Centratherum_punctatum,-54.486939,-25.600467
Centratherum_punctatum,152.8333,-27.7833
Centratherum_punctatum,152.813889,-27.785556
Centratherum_punctatum,152.7211,-29.6317
Centratherum_punctatum,153.17607,-28.023401
Centratherum_punctatum,153.059399,-27.556735
Centratherum_punctatum,-76.574147,3.430517
Centratherum_punctatum,-40.51167,-11.18111
Centratherum_punctatum,-41.99722,-12.18306
Centratherum_punctatum,-89.481492,-0.895367
Centratherum_punctatum,-37.326139,-8.046917
Centratherum_punctatum,-58.93,-28.46
Centratherum_punctatum,-57.018889,-19.576667
Centratherum_punctatum,-78.522941,-0.116703
Centratherum_punctatum,-54.450915,-25.664396
Centratherum_punctatum,-62.5,8.82
Centratherum_punctatum,-49.196944,-26.886389
Centratherum_punctatum,-40.449444,-19.925
Centratherum_punctatum,-40.603611,-19.948611
Centratherum_punctatum,152.92,-31.42
Centratherum_punctatum,152.72,-28.35
Centratherum_punctatum,153.02,-27.47
Centratherum_punctatum,153.0167,-27.4667
Centratherum_punctatum,-56.45,-25.78333
Centratherum_punctatum,-36,-8.31
Centratherum_punctatum,6.10761,46.25151
Centratherum_punctatum,5.57918,46.00875
Centratherum_punctatum,-57.490833,-18.001667
Centratherum_punctatum,-66.258564,18.100352
Centratherum_punctatum,-47.929722,-15.779722
Centratherum_punctatum,-80.4776,25.4687
Centratherum_punctatum,-44.566667,-22.25
Centratherum_punctatum,152.37,-30.77
Centratherum_punctatum,-79.723892,-3.319163
Centratherum_punctatum,-46.958056,-12.268611
Centratherum_punctatum,-40.059814,-13.874036
Centratherum_punctatum,-35.633056,-6.75
Centratherum_punctatum,-48.125833,-25.274167
Centratherum_punctatum,-41.203611,-20.357222
Centratherum_punctatum,151.251155,-33.915088
Centratherum_punctatum,150.678611,-33.649722
Centratherum_punctatum,151.2667,-33.85
Centratherum_punctatum,150.95,-33.747
Centratherum_punctatum,-55.75,-27.18333
Centratherum_punctatum,-55.78333,-27.18333
Centratherum_punctatum,-47.811363,-16.071708
Centratherum_punctatum,150.340355,-22.679092
Centratherum_punctatum,120.268595,22.729828
Centratherum_punctatum,-80.13,8.381389
Centratherum_punctatum,-82.4584,27.9475
Centratherum_punctatum,152.4,-31.933333
Centratherum_punctatum,-36.846111,-9.045833
Centratherum_punctatum,-37.143608,-9.293667
Centratherum_punctatum,-59.47,-28.61
Centratherum_punctatum,-58.23,-28.05
Centratherum_punctatum,-54.43,-26.3
Centratherum_punctatum,-58.18,-27.99
Centratherum_punctatum,-57.028667,-26.887371
Centratherum_punctatum,-54.585,-25.514722
Centratherum_punctatum,-54.585556,-25.513611
Centratherum_punctatum,146.059433,-17.823461
Centratherum_punctatum,-54.89,-19.95
Centratherum_punctatum,-56.14,-27.51
Centratherum_punctatum,-58.46,-28.33
Centratherum_punctatum,-54.31,-26.74
Centratherum_punctatum,-55.03,-26.81
Centratherum_punctatum,-57.89,-28.39
