species,long,lat
Chresta_pacourinoides,-37.384159,-7.252285
Chresta_pacourinoides,-37.431389,-7.186111
Chresta_pacourinoides,-41.67,-4.107778
Chresta_pacourinoides,-41.67,-4.107861
Chresta_pacourinoides,-36.428056,-9.251111
Chresta_pacourinoides,-40.82075,-3.955417
Chresta_pacourinoides,-40.666667,-11.083333
Chresta_pacourinoides,-36.5625,-8.5625
Chresta_pacourinoides,-36.287222,-7.489167
Chresta_pacourinoides,-37.778333,-5.1975
Chresta_pacourinoides,-40.587222,-7.092778
Chresta_pacourinoides,-41.470833,-6.853333
Chresta_pacourinoides,-42.617222,-5.5625
Chresta_pacourinoides,-41.5,-4.083333
Chresta_pacourinoides,-42.608528,-5.640583
Chresta_pacourinoides,-41.670028,-4.10775
Chresta_pacourinoides,-42.608306,-5.640583
Chresta_pacourinoides,-37.001667,-8.434167
Chresta_pacourinoides,-37,-8.5
Chresta_pacourinoides,-37.610833,-6.096389
Chresta_pacourinoides,-40.85,-5.25
Chresta_pacourinoides,-38.055839,-7.822783
Chresta_pacourinoides,-36.15,-8.2575
Chresta_pacourinoides,-36.151389,-8.2575
Chresta_pacourinoides,-41.470833,-12.455556
Chresta_pacourinoides,-40.5180838,-11.1844226
Chresta_pacourinoides,-36.875278,-8.444167
Chresta_pacourinoides,-37.400278,-7.963889
Chresta_pacourinoides,-40.63333,-11.08333
Chresta_pacourinoides,-38.699167,-6.914444
Chresta_pacourinoides,-38.054167,-7.823611
Chresta_pacourinoides,-38.755278,-8.444167
Chresta_pacourinoides,-39.1425,-7.5
Chresta_pacourinoides,-40.489444,-11.306111
Chresta_pacourinoides,-38.933056,-4.263333
Chresta_pacourinoides,-36.391323,-6.680681
Chresta_pacourinoides,-40.001304,-4.071352
Chresta_pacourinoides,-36.263754,-7.375356
Chresta_pacourinoides,-36.712778,-6.996944
Chresta_pacourinoides,-40.526639,-3.773299
Chresta_pacourinoides,-40.75,-11.1
Chresta_pacourinoides,-35.991111,-6.88
Chresta_pacourinoides,-37.183056,-8.379722
Chresta_pacourinoides,-36.960556,-8.353333
Chresta_pacourinoides,-36.871944,-8.441111
Chresta_pacourinoides,-40.309167,-8.25
Chresta_pacourinoides,-39.583333,-7.166667
Chresta_pacourinoides,-38.111861,-7.845027
Chresta_pacourinoides,-37.349361,-7.975805
Chresta_pacourinoides,-40.187778,-8.163611
Chresta_pacourinoides,-38.958611,-6.710556
Chresta_pacourinoides,-37.383669,-7.252696
Chresta_pacourinoides,-37.386105,-7.252054
Chresta_pacourinoides,-36.061111,-7.076944
Chresta_pacourinoides,-35.0875,-8.3325
Chresta_pacourinoides,-35.843889,-8.381944
Chresta_pacourinoides,-41.232222,-11.471667
Chresta_pacourinoides,-41.018056,-11.671667
Chresta_pacourinoides,-44.2125,-14.231667
Chresta_pacourinoides,-43.809167,-14.310833
Chresta_pacourinoides,-41.472222,-12.456111
Chresta_pacourinoides,-38.979167,-4.213611
Chresta_pacourinoides,-38.283333,-12.516667
Chresta_pacourinoides,-41.383333,-12.809722
Chresta_pacourinoides,-40,-11
Chresta_pacourinoides,-36.192033,-8.2363
Chresta_pacourinoides,-37.268056,-9.217222
Chresta_pacourinoides,-41.45,-12.5
Chresta_pacourinoides,-37.403611,-7.960278
Chresta_pacourinoides,-37.320278,-7.946111
Chresta_pacourinoides,-40.944361,-3.666667
Chresta_pacourinoides,-39.703056,-4.745
Chresta_pacourinoides,-38.201875,-9.659722
Chresta_pacourinoides,-37.594436,-10.225925
Chresta_pacourinoides,-36.726081,-9.406567
Chresta_pacourinoides,-37.108797,-10.535186
Chresta_pacourinoides,-37.603758,-9.285186
Chresta_pacourinoides,-37.455711,-9.370061
Chresta_pacourinoides,-38.850363,-4.183206
Chresta_pacourinoides,-38.696917,-7.340861
Chresta_pacourinoides,-43.457222,-8.901667
Chresta_pacourinoides,-37.301256,-5.915343
Chresta_pacourinoides,-44.263889,-8.890278
Chresta_pacourinoides,-39.727778,-12.232778
Chresta_pacourinoides,-46.499444,-13.899167
Chresta_pacourinoides,-37.384184,-7.25302
Chresta_pacourinoides,-37.893889,-9.312222
Chresta_pacourinoides,-38.257222,-9.370528
Chresta_pacourinoides,-36.73635,-9.8925
Chresta_pacourinoides,-37.414722,-9.639806
Chresta_pacourinoides,-37.559258,-10.216203
Chresta_pacourinoides,-36.817531,-10.080833
Chresta_pacourinoides,-38.781333,-3.784733
Chresta_pacourinoides,-40.703056,-11.253056
Chresta_pacourinoides,-35.85533,-8.70271
Chresta_pacourinoides,-36.833333,-9.184414
Chresta_pacourinoides,-41.448889,-12.772222
Chresta_pacourinoides,-38.771666,-7.382949
Chresta_pacourinoides,-37.683889,-5.600278
Chresta_pacourinoides,-37.409722,-10.035
