species,long,lat
Cyrtocymura_scorpioides,-44.096503,-19.690239
Cyrtocymura_scorpioides,-47.534444,-14.137222
Cyrtocymura_scorpioides,-40.10111,-15.64389
Cyrtocymura_scorpioides,-40.101111,-15.643889
Cyrtocymura_scorpioides,-47.534445,-14.137222
Cyrtocymura_scorpioides,-55.578556,-27.279056
Cyrtocymura_scorpioides,-59.57944,-18.31944
Cyrtocymura_scorpioides,-86.2,11.88333
Cyrtocymura_scorpioides,-69.445,-14.309444
Cyrtocymura_scorpioides,-61.205809,10.429735
Cyrtocymura_scorpioides,-61.309777,10.795968
Cyrtocymura_scorpioides,-48.597258,-27.086854
Cyrtocymura_scorpioides,-46.730607,-23.301249
Cyrtocymura_scorpioides,-48.6955,-25.3136
Cyrtocymura_scorpioides,-35.691389,-6.963333
Cyrtocymura_scorpioides,-34.978056,-7.114167
Cyrtocymura_scorpioides,-56.83333,-26.05
Cyrtocymura_scorpioides,-72.627269,5.224092
Cyrtocymura_scorpioides,-87.45027,15.73333
Cyrtocymura_scorpioides,-54.452901,-25.679819
Cyrtocymura_scorpioides,-43.973906,-19.873603
Cyrtocymura_scorpioides,-43.965564,-19.865451
Cyrtocymura_scorpioides,-68.939639,-14.746222
Cyrtocymura_scorpioides,-49.3175,-28.522778
Cyrtocymura_scorpioides,-46.5190982,-23.490977
Cyrtocymura_scorpioides,-49.679444,-28.926667
Cyrtocymura_scorpioides,-41.400833,-20.439167
Cyrtocymura_scorpioides,-43.45,-19.966667
Cyrtocymura_scorpioides,-39.100278,-16.372222
Cyrtocymura_scorpioides,-43.5082859,-20.2916152
Cyrtocymura_scorpioides,-43.485833,-20.273889
Cyrtocymura_scorpioides,-43.555556,-20.429444
Cyrtocymura_scorpioides,-40.963611,-16.354167
Cyrtocymura_scorpioides,-35.678611,-8.401389
Cyrtocymura_scorpioides,-52.883333,-22.716667
Cyrtocymura_scorpioides,-48.919194,-25.788833
Cyrtocymura_scorpioides,-39.202778,-14.770278
Cyrtocymura_scorpioides,-39.341667,-15.173611
Cyrtocymura_scorpioides,-39.603056,-16.990556
Cyrtocymura_scorpioides,-49.073101,-26.929406
Cyrtocymura_scorpioides,-43.565347,-19.391335
Cyrtocymura_scorpioides,-36,-8.31
Cyrtocymura_scorpioides,-58.983508,-27.389601
Cyrtocymura_scorpioides,-58.983181,-27.43091
Cyrtocymura_scorpioides,-72.223296,7.076224
Cyrtocymura_scorpioides,-51.419167,-20.367778
Cyrtocymura_scorpioides,-42.3375,-22.319722
Cyrtocymura_scorpioides,-43.331667,-19.151111
Cyrtocymura_scorpioides,-46.8492,-23.7169
Cyrtocymura_scorpioides,-40.127778,-14.408889
Cyrtocymura_scorpioides,-39.705833,-13.579444
Cyrtocymura_scorpioides,-39.670833,-13.879167
Cyrtocymura_scorpioides,-42.05,-22
Cyrtocymura_scorpioides,-49.37,-28.678056
Cyrtocymura_scorpioides,-56.251046,-25.747646
Cyrtocymura_scorpioides,-46.703944,-23.439472
Cyrtocymura_scorpioides,-40.840833,-19.125833
Cyrtocymura_scorpioides,-40.684722,-19.022778
Cyrtocymura_scorpioides,-40.829722,-19.181667
Cyrtocymura_scorpioides,-34.881111,-8.054167
Cyrtocymura_scorpioides,-36.469219,-10.027469
Cyrtocymura_scorpioides,-36.267522,-10.025686
Cyrtocymura_scorpioides,-35.015278,-7.780278
Cyrtocymura_scorpioides,-34.986944,-7.725556
Cyrtocymura_scorpioides,-38.1375,-8.256944
Cyrtocymura_scorpioides,-36.435717,-10.293264
Cyrtocymura_scorpioides,-44.62,-3.265
Cyrtocymura_scorpioides,-58.68,-28.73
Cyrtocymura_scorpioides,-58.12,-28.72
Cyrtocymura_scorpioides,-58.03,-28.36
Cyrtocymura_scorpioides,-56.73,-27.72
Cyrtocymura_scorpioides,-43.75,-20.142592
Cyrtocymura_scorpioides,-58.489747,-28.888253
Cyrtocymura_scorpioides,-41.133333,-20.3
Cyrtocymura_scorpioides,-58.116667,-28.716667
Cyrtocymura_scorpioides,-54.585556,-25.513611
Cyrtocymura_scorpioides,-63.853333,-18.787222
Cyrtocymura_scorpioides,-43.644167,-18.933333
Cyrtocymura_scorpioides,-40.637778,-19.233889
Cyrtocymura_scorpioides,-40.714722,-19.396944
Cyrtocymura_scorpioides,-40.718611,-19.401944
Cyrtocymura_scorpioides,-41.933611,-20.806111
Cyrtocymura_scorpioides,-40.970556,-19.111111
Cyrtocymura_scorpioides,-40.515556,-18.948056
Cyrtocymura_scorpioides,-40.470833,-19.921944
Cyrtocymura_scorpioides,-40.144167,-18.903611
Cyrtocymura_scorpioides,-40.018889,-18.731667
Cyrtocymura_scorpioides,-40.451944,-20.2975
Cyrtocymura_scorpioides,-44.866667,-23.35
Cyrtocymura_scorpioides,-40.560278,-20.111667
Cyrtocymura_scorpioides,-58.448128,-34.576905
Cyrtocymura_scorpioides,-48.333333,-25.283333
Cyrtocymura_scorpioides,-86.116667,12.166667
Cyrtocymura_scorpioides,-40.343333,-20.309444
Cyrtocymura_scorpioides,-46.7270008,-23.5810788
Cyrtocymura_scorpioides,-61.55,4.666667
