species,long,lat
Eremanthus_crotonoides,-45.608333,-21.916667
Eremanthus_crotonoides,-44.958889,-21.55
Eremanthus_crotonoides,-44.166667,-21.083333
Eremanthus_crotonoides,-43.567098,-19.391463
Eremanthus_crotonoides,-43.45,-20.083333
Eremanthus_crotonoides,-40.353333,-20.240556
Eremanthus_crotonoides,-44.167778,-21.086111
Eremanthus_crotonoides,-41.323333,-20.62
Eremanthus_crotonoides,-43.414444,-20.260556
Eremanthus_crotonoides,-43.378889,-19.200556
Eremanthus_crotonoides,-43.520556,-20.363889
Eremanthus_crotonoides,-43.581167,-20.218806
Eremanthus_crotonoides,-43.683056,-20.093611
Eremanthus_crotonoides,-43.94,-20.324444
Eremanthus_crotonoides,-44.02675,-20.076861
Eremanthus_crotonoides,-43.368639,-19.889944
Eremanthus_crotonoides,-43.433056,-18.904444
Eremanthus_crotonoides,-40.413889,-15.771944
Eremanthus_crotonoides,-43.398333,-20.28675
Eremanthus_crotonoides,-43.207861,-20.298556
Eremanthus_crotonoides,-41.663611,-22.266111
Eremanthus_crotonoides,-43.785278,-17.938333
Eremanthus_crotonoides,-44.450833,-21.221111
Eremanthus_crotonoides,-44.505478,-21.248486
Eremanthus_crotonoides,-44.204444,-21.121111
Eremanthus_crotonoides,-44,-21
Eremanthus_crotonoides,-43,-20
Eremanthus_crotonoides,-43,-19
Eremanthus_crotonoides,-41.544167,-20.939167
Eremanthus_crotonoides,-41.664722,-19.3975
Eremanthus_crotonoides,-40.530278,-19.971389
Eremanthus_crotonoides,-43.503267,-20.3629
Eremanthus_crotonoides,-44.178056,-21.110278
Eremanthus_crotonoides,-40.770472,-19.803278
Eremanthus_crotonoides,-43.350556,-18.6175
Eremanthus_crotonoides,-40.775278,-19.796944
Eremanthus_crotonoides,-40.597222,-20.081111
Eremanthus_crotonoides,-40.771944,-19.801111
Eremanthus_crotonoides,-40.570556,-19.991111
Eremanthus_crotonoides,-40.674167,-20.328889
Eremanthus_crotonoides,-40.608222,-20.110111
Eremanthus_crotonoides,-41.083611,-20.516111
Eremanthus_crotonoides,-42.701944,-19.702222
Eremanthus_crotonoides,-41.544444,-20.938611
Eremanthus_crotonoides,-40.541667,-20.306389
Eremanthus_crotonoides,-41.666667,-22.25
Eremanthus_crotonoides,-43.433333,-20.198611
Eremanthus_crotonoides,-43.488109,-20.098789
Eremanthus_crotonoides,-40.605556,-19.987222
Eremanthus_crotonoides,-40.605556,-19.986111
Eremanthus_crotonoides,-43.8,-20.22
Eremanthus_crotonoides,-43.8,-20.23
Eremanthus_crotonoides,-43.4,-18.87
Eremanthus_crotonoides,-43.676328,-19.820266
Eremanthus_crotonoides,-43.492778,-20.1263
Eremanthus_crotonoides,-43.418056,-20.37495
Eremanthus_crotonoides,-43.361944,-19.826111
Eremanthus_crotonoides,-40.472222,-19.914167
Eremanthus_crotonoides,-40.614444,-20.173056
Eremanthus_crotonoides,-43.4775,-19.130833
Eremanthus_crotonoides,-43.671389,-18.93
Eremanthus_crotonoides,-41.676394,-19.418722
Eremanthus_crotonoides,-43.35,-19.883333
Eremanthus_crotonoides,-43.695278,-20.490278
Eremanthus_crotonoides,-41.681667,-22.294444
Eremanthus_crotonoides,-43.5082859,-20.2916152
Eremanthus_crotonoides,-43.7407994,-18.4581811
Eremanthus_crotonoides,-43.4,-19.95
Eremanthus_crotonoides,-43.511611,-20.486472
Eremanthus_crotonoides,-43.525222,-20.46675
Eremanthus_crotonoides,-43.894444,-20.113611
Eremanthus_crotonoides,-43.3108,-20.0051
Eremanthus_crotonoides,-43.527778,-20.265278
Eremanthus_crotonoides,-47.51,-14.1325
Eremanthus_crotonoides,-43.482611,-20.103222
Eremanthus_crotonoides,-43.420395,-18.912191
Eremanthus_crotonoides,-42.816389,-15.231944
Eremanthus_crotonoides,-43.486944,-20.135
Eremanthus_crotonoides,-43.471111,-20.127222
Eremanthus_crotonoides,-43.436667,-20.153611
Eremanthus_crotonoides,-43.605,-20.197222
Eremanthus_crotonoides,-43.430556,-18.908333
Eremanthus_crotonoides,-41.870619,-22.438265
Eremanthus_crotonoides,-43.478333,-20.094167
Eremanthus_crotonoides,-43.5,-19.223333
Eremanthus_crotonoides,-43.592778,-19.2525
Eremanthus_crotonoides,-47.6,-14.183333
Eremanthus_crotonoides,-43.676683,-20.492553
Eremanthus_crotonoides,-43.432222,-20.197222
Eremanthus_crotonoides,-43.864444,-20.164444
Eremanthus_crotonoides,-43.439167,-20.16
Eremanthus_crotonoides,-43.514722,-20.154722
Eremanthus_crotonoides,-43.376944,-20.283333
Eremanthus_crotonoides,-43.419722,-20.133056
Eremanthus_crotonoides,-43.416389,-20.1375
Eremanthus_crotonoides,-43.300278,-20.060833
Eremanthus_crotonoides,-41.59188,-22.22869
Eremanthus_crotonoides,-41.798611,-22.235555
Eremanthus_crotonoides,-41.595555,-22.231667
Eremanthus_crotonoides,-43.402056,-19.396361
Eremanthus_crotonoides,-43.31,-20.27
Eremanthus_crotonoides,-43.617222,-19.354722
Eremanthus_crotonoides,-43.532222,-19.246667
Eremanthus_crotonoides,-43.5,-20.383333
Eremanthus_crotonoides,-43.490256,-20.258883
Eremanthus_crotonoides,-41.17,-21.67
Eremanthus_crotonoides,-43.893333,-20.446944
Eremanthus_crotonoides,-43.488056,-20.299722
Eremanthus_crotonoides,-44.55638,-20.76055
Eremanthus_crotonoides,-43.365333,-19.892556
Eremanthus_crotonoides,-43.685278,-20.0473
Eremanthus_crotonoides,-41.325833,-20.615556
Eremanthus_crotonoides,-40.473139,-19.909056
Eremanthus_crotonoides,-40.553056,-19.9075
Eremanthus_crotonoides,-43.496944,-20.149167
Eremanthus_crotonoides,-43.496833,-20.14925
Eremanthus_crotonoides,-43.5925,-20.038333
Eremanthus_crotonoides,-41.94733063,-22.45429548
Eremanthus_crotonoides,-43.460569,-20.465176
Eremanthus_crotonoides,-44.65770348,-18.45798563
Eremanthus_crotonoides,-41.29855693,-20.12941068
Eremanthus_crotonoides,-44.1552796,-21.11740993
Eremanthus_crotonoides,-44.21571762,-21.12150192
Eremanthus_crotonoides,-43.571667,-18.6175
Eremanthus_crotonoides,-44.450847,-21.221044
