species,long,lat
Eremanthus_erythropappus,-43.533333,-19.583333
Eremanthus_erythropappus,-41.969444,-16.504444
Eremanthus_erythropappus,-43.341389,-19.172222
Eremanthus_erythropappus,-46.7006,-22.6122
Eremanthus_erythropappus,-43.348889,-18.108889
Eremanthus_erythropappus,-43.357778,-18.937778
Eremanthus_erythropappus,-43.879764,-20.255969
Eremanthus_erythropappus,-46.524444,-23.358056
Eremanthus_erythropappus,-46.355,-23.358056
Eremanthus_erythropappus,-46.536944,-23.364444
Eremanthus_erythropappus,-45.146944,-22.517778
Eremanthus_erythropappus,-45.173889,-22.541389
Eremanthus_erythropappus,-40.810278,-20.311944
Eremanthus_erythropappus,-40.996389,-20.472222
Eremanthus_erythropappus,-40.991667,-20.454722
Eremanthus_erythropappus,-43.256944,-22.964167
Eremanthus_erythropappus,-43.319722,-19.138889
Eremanthus_erythropappus,-43.5081,-20.2875
Eremanthus_erythropappus,-43.67,-20.3461
Eremanthus_erythropappus,-44.3092,-21.7397
Eremanthus_erythropappus,-47.55,-22.566667
Eremanthus_erythropappus,-43.067222,-22.436944
Eremanthus_erythropappus,-44.783333,-22.35
Eremanthus_erythropappus,-40.6075,-19.931389
Eremanthus_erythropappus,-46.95,-23.25
Eremanthus_erythropappus,-44.766667,-22.116667
Eremanthus_erythropappus,-43.890278,-21.706667
Eremanthus_erythropappus,-43.879167,-21.706667
Eremanthus_erythropappus,-44.491294,-22.952257
Eremanthus_erythropappus,-41.384167,-19.236111
Eremanthus_erythropappus,-41.795833,-20.434778
Eremanthus_erythropappus,-42.447778,-22.361111
Eremanthus_erythropappus,-43.520556,-20.363889
Eremanthus_erythropappus,-43.574306,-20.209861
Eremanthus_erythropappus,-43.683111,-20.093806
Eremanthus_erythropappus,-43.691278,-20.056667
Eremanthus_erythropappus,-43.867222,-20.240556
Eremanthus_erythropappus,-43.482778,-20.417222
Eremanthus_erythropappus,-43.405278,-20.137361
Eremanthus_erythropappus,-43.937528,-20.332361
Eremanthus_erythropappus,-43.581167,-20.218806
Eremanthus_erythropappus,-43.938083,-20.348444
Eremanthus_erythropappus,-43.958611,-20.33
Eremanthus_erythropappus,-43.938083,-20.348417
Eremanthus_erythropappus,-43.523,-19.584444
Eremanthus_erythropappus,-43.507778,-20.43
Eremanthus_erythropappus,-42.413889,-22.376111
Eremanthus_erythropappus,-46.224444,-20.715833
Eremanthus_erythropappus,-43.571944,-19.302778
Eremanthus_erythropappus,-43.602528,-19.289972
Eremanthus_erythropappus,-43.338867,-18.104233
Eremanthus_erythropappus,-43.793055,-17.921389
Eremanthus_erythropappus,-43.333611,-18.291944
Eremanthus_erythropappus,-40.690556,-19.064722
Eremanthus_erythropappus,-45.28,-22.508889
Eremanthus_erythropappus,-43.253583,-20.374444
Eremanthus_erythropappus,-41.961667,-22.767222
Eremanthus_erythropappus,-44.047222,-19.857222
Eremanthus_erythropappus,-41.720278,-20.407222
Eremanthus_erythropappus,-40.021944,-18.394722
Eremanthus_erythropappus,-43.504167,-20.363333
Eremanthus_erythropappus,-46.88,-23.18
Eremanthus_erythropappus,-40.591667,-19.909167
Eremanthus_erythropappus,-43.503267,-20.3629
Eremanthus_erythropappus,-44.006389,-20.012778
Eremanthus_erythropappus,-43.24,-22.93
Eremanthus_erythropappus,-40.775278,-19.796944
Eremanthus_erythropappus,-46.224553,-23.355389
Eremanthus_erythropappus,-46.536814,-23.364961
Eremanthus_erythropappus,-43.518056,-19.333056
Eremanthus_erythropappus,-43.559444,-19.277222
Eremanthus_erythropappus,-43.439444,-19.045556
Eremanthus_erythropappus,-43.589444,-19.28
Eremanthus_erythropappus,-43.569444,-18.205556
Eremanthus_erythropappus,-43.496389,-20.431944
Eremanthus_erythropappus,-42.870833,-16.220556
Eremanthus_erythropappus,-45.14,-22.501944
Eremanthus_erythropappus,-44.997278,-21.732252
Eremanthus_erythropappus,-43.365333,-19.892556
Eremanthus_erythropappus,-40.533333,-19.95
Eremanthus_erythropappus,-43.438889,-19.599722
Eremanthus_erythropappus,-44.021111,-20.057778
Eremanthus_erythropappus,-40.560833,-19.9025
Eremanthus_erythropappus,-40.461389,-19.481111
Eremanthus_erythropappus,-43.888333,-21.691667
Eremanthus_erythropappus,-43.866667,-21.683333
Eremanthus_erythropappus,-43.583889,-18.205
Eremanthus_erythropappus,-45.699167,-23.638056
Eremanthus_erythropappus,-45.415556,-23.381667
Eremanthus_erythropappus,-43.382222,-18.101944
Eremanthus_erythropappus,-42.965556,-22.412222
Eremanthus_erythropappus,-43.503475,-20.357758
Eremanthus_erythropappus,-41.294167,-20.322778
Eremanthus_erythropappus,-43.471694,-20.628389
Eremanthus_erythropappus,-42.720278,-22.329167
Eremanthus_erythropappus,-44.096503,-19.690239
Eremanthus_erythropappus,-43.073169,-22.496706
Eremanthus_erythropappus,-47.408333,-20.588611
Eremanthus_erythropappus,-47.408394,-20.588552
Eremanthus_erythropappus,-40.530278,-19.971389
Eremanthus_erythropappus,-42.528611,-22.435
Eremanthus_erythropappus,-43.256944,-22.431389
Eremanthus_erythropappus,-45.083333,-22.301944
Eremanthus_erythropappus,-45.132222,-22.498611
Eremanthus_erythropappus,-43.55,-19.25
Eremanthus_erythropappus,-41.918611,-21.903611
Eremanthus_erythropappus,-47.929722,-15.779722
Eremanthus_erythropappus,-41.815278,-20.346944
Eremanthus_erythropappus,-41.816944,-20.346389
Eremanthus_erythropappus,-41.824722,-20.372778
Eremanthus_erythropappus,-44.363611,-22.809167
Eremanthus_erythropappus,-45.175833,-22.613889
Eremanthus_erythropappus,-45.470833,-22.705
Eremanthus_erythropappus,-45.808333,-23.674167
Eremanthus_erythropappus,-46,-23.658333
Eremanthus_erythropappus,-44.696056,-22.345194
Eremanthus_erythropappus,-43.510289,-20.434453
Eremanthus_erythropappus,-46.3884823,-20.8674206
Eremanthus_erythropappus,-43,-18
Eremanthus_erythropappus,-43.4175,-18.922222
Eremanthus_erythropappus,-43.421667,-20.071111
Eremanthus_erythropappus,-41.115278,-18.921111
Eremanthus_erythropappus,-40.59,-19.933333
Eremanthus_erythropappus,-40.553056,-19.9075
Eremanthus_erythropappus,-40.555833,-19.935
Eremanthus_erythropappus,-43.256944,-22.965556
Eremanthus_erythropappus,-43.343583,-18.12025
Eremanthus_erythropappus,-46.1386,-23.8544
Eremanthus_erythropappus,-46.6361,-23.5475
Eremanthus_erythropappus,-42.5309213,-22.2857503
Eremanthus_erythropappus,-42.05,-22
Eremanthus_erythropappus,-43.904722,-19.952222
Eremanthus_erythropappus,-42.133333,-20.7
Eremanthus_erythropappus,-42.016667,-20.633333
Eremanthus_erythropappus,-43.848333,-20.027778
Eremanthus_erythropappus,-43.5082859,-20.2916152
Eremanthus_erythropappus,-45.45,-22.716667
Eremanthus_erythropappus,-41.566667,-19.3
Eremanthus_erythropappus,-41.578392,-19.307
Eremanthus_erythropappus,-46.935778,-23.230278
Eremanthus_erythropappus,-45.501111,-22.661389
Eremanthus_erythropappus,-43.464803,-20.37043
Eremanthus_erythropappus,-43.588333,-18.203333
Eremanthus_erythropappus,-43.415556,-20.267778
Eremanthus_erythropappus,-48.162222,-18.564722
Eremanthus_erythropappus,-43.1784661,-22.5088534
Eremanthus_erythropappus,-44.961111,-23.086111
Eremanthus_erythropappus,-44.959444,-23.085833
Eremanthus_erythropappus,-44.72925,-22.137778
Eremanthus_erythropappus,-43.339722,-18.110278
Eremanthus_erythropappus,-43.833333,-20.55
Eremanthus_erythropappus,-43.516667,-20.383333
Eremanthus_erythropappus,-42.495556,-22.333056
Eremanthus_erythropappus,-44,-18
Eremanthus_erythropappus,-46.905556,-23.202778
Eremanthus_erythropappus,-42.725556,-22.318333
Eremanthus_erythropappus,-43.434394,-18.892224
Eremanthus_erythropappus,-43.878056,-21.679444
Eremanthus_erythropappus,-43.901111,-21.718889
Eremanthus_erythropappus,-43.435556,-20.197778
Eremanthus_erythropappus,-43.816694,-20.47725
Eremanthus_erythropappus,-46.522222,-20.2975
Eremanthus_erythropappus,-43.274722,-22.954444
Eremanthus_erythropappus,-43.300833,-22.953611
Eremanthus_erythropappus,-43.486944,-20.135
Eremanthus_erythropappus,-43.590278,-18.201944
Eremanthus_erythropappus,-43.383611,-19.853333
Eremanthus_erythropappus,-43.260167,-19.648
Eremanthus_erythropappus,-43.513889,-20.131389
Eremanthus_erythropappus,-43.638611,-20.088333
Eremanthus_erythropappus,-43.824167,-20.175
Eremanthus_erythropappus,-44.814444,-23.139167
Eremanthus_erythropappus,-44.762403,-21.965362
Eremanthus_erythropappus,-43.510556,-19.246944
Eremanthus_erythropappus,-43.511667,-19.247222
Eremanthus_erythropappus,-43.560833,-19.456389
Eremanthus_erythropappus,-43.551944,-19.2825
Eremanthus_erythropappus,-43.551944,-19.282778
Eremanthus_erythropappus,-43.503556,-20.369639
Eremanthus_erythropappus,-43.05,-22.4
Eremanthus_erythropappus,-43.905833,-20.445833
Eremanthus_erythropappus,-40.573056,-19.836944
Eremanthus_erythropappus,-40.5625,-19.951667
Eremanthus_erythropappus,-43.489806,-20.361889
Eremanthus_erythropappus,-43.292222,-22.445555
Eremanthus_erythropappus,-43.291111,-22.421944
Eremanthus_erythropappus,-43.508056,-20.385556
Eremanthus_erythropappus,-43.366667,-19.883333
Eremanthus_erythropappus,-44.960833,-23.09
Eremanthus_erythropappus,-42.391111,-20.693333
Eremanthus_erythropappus,-43.331389,-17.074722
Eremanthus_erythropappus,-43.303056,-17.103889
Eremanthus_erythropappus,-43.603056,-19.974722
Eremanthus_erythropappus,-43.420833,-20.138333
Eremanthus_erythropappus,-43.840556,-20.303056
Eremanthus_erythropappus,-44.478333,-20.185278
Eremanthus_erythropappus,-43.514722,-20.154722
Eremanthus_erythropappus,-43.801944,-20.44
Eremanthus_erythropappus,-43.383333,-20.263611
Eremanthus_erythropappus,-43.369722,-20.260833
Eremanthus_erythropappus,-43.37,-20.262778
Eremanthus_erythropappus,-43.365278,-20.264722
Eremanthus_erythropappus,-43.376944,-20.283333
Eremanthus_erythropappus,-48.722778,-20.263333
Eremanthus_erythropappus,-43.863611,-20.264722
Eremanthus_erythropappus,-43.491667,-18.412778
Eremanthus_erythropappus,-43.505,-18.473889
Eremanthus_erythropappus,-44.225278,-20.126944
Eremanthus_erythropappus,-40.604444,-19.946667
Eremanthus_erythropappus,-43.306667,-18.383056
Eremanthus_erythropappus,-41.990833,-21.943611
Eremanthus_erythropappus,-43.883333,-19.933333
Eremanthus_erythropappus,-43.270556,-22.963056
Eremanthus_erythropappus,-42.504444,-22.438611
Eremanthus_erythropappus,-42.495833,-22.375
Eremanthus_erythropappus,-43.893333,-21.711667
Eremanthus_erythropappus,-44.275278,-20.141111
Eremanthus_erythropappus,-43.863528,-20.001256
Eremanthus_erythropappus,-44.961889,-21.728389
Eremanthus_erythropappus,-44.987133,-21.728389
Eremanthus_erythropappus,-41.793944,-20.5585
Eremanthus_erythropappus,-43.509694,-20.434583
Eremanthus_erythropappus,-42,-22
Eremanthus_erythropappus,-43.745,-19.513611
Eremanthus_erythropappus,-43.69825,-18.420361
Eremanthus_erythropappus,-45.705278,-23.658611
Eremanthus_erythropappus,-43.517,-20.365056
Eremanthus_erythropappus,-45.4617,-22.9239
