species,long,lat
Eremanthus_incanus,-43.791111,-18.416389
Eremanthus_incanus,-42.849236,-16.606342
Eremanthus_incanus,-43.351111,-18.962778
Eremanthus_incanus,-42.483889,-15.113611
Eremanthus_incanus,-42.649444,-13.823889
Eremanthus_incanus,-43.983611,-20.093056
Eremanthus_incanus,-42.870278,-16.217222
Eremanthus_incanus,-43.581167,-20.218806
Eremanthus_incanus,-43.691278,-20.056667
Eremanthus_incanus,-43.482778,-20.417222
Eremanthus_incanus,-44.362167,-20.121389
Eremanthus_incanus,-44.033333,-20.066667
Eremanthus_incanus,-44.02675,-20.076861
Eremanthus_incanus,-43.701389,-20.1045
Eremanthus_incanus,-42.702778,-16.0095
Eremanthus_incanus,-43.938083,-20.348417
Eremanthus_incanus,-43.405833,-20.165833
Eremanthus_incanus,-43.426167,-20.264278
Eremanthus_incanus,-41.3325,-11.499167
Eremanthus_incanus,-43.529611,-19.322694
Eremanthus_incanus,-43.332933,-18.29335
Eremanthus_incanus,-43.470556,-17.553611
Eremanthus_incanus,-43.333611,-18.291944
Eremanthus_incanus,-43.926389,-18.584444
Eremanthus_incanus,-43.346111,-18.103889
Eremanthus_incanus,-44.895555,-21.375
Eremanthus_incanus,-41.256389,-13.314722
Eremanthus_incanus,-43.286694,-20.341806
Eremanthus_incanus,-43.623333,-18.219167
Eremanthus_incanus,-41.55,-19.2
Eremanthus_incanus,-43.969167,-20.233956
Eremanthus_incanus,-43.503056,-20.359722
Eremanthus_incanus,-41.833333,-12.966667
Eremanthus_incanus,-43.913611,-18.523333
Eremanthus_incanus,-43.548056,-18.183611
Eremanthus_incanus,-41.573333,-19.336944
Eremanthus_incanus,-44.99593,-21.731946
Eremanthus_incanus,-43.901944,-19.949722
Eremanthus_incanus,-42.64951,-13.8442
Eremanthus_incanus,-42.69748,-15.37859
Eremanthus_incanus,-42.9379,-16.60792
Eremanthus_incanus,-41.95186,-13.5229
Eremanthus_incanus,-43.866667,-21.683333
Eremanthus_incanus,-41.816667,-13.316667
Eremanthus_incanus,-43.469444,-20.230278
Eremanthus_incanus,-43.513333,-20.180833
Eremanthus_incanus,-43.88075,-18.425694
Eremanthus_incanus,-43.298592,-19.337453
Eremanthus_incanus,-41.8325,-13.131111
Eremanthus_incanus,-41.880278,-13.060833
Eremanthus_incanus,-40.536944,-11.393056
Eremanthus_incanus,-40.516667,-11.333333
Eremanthus_incanus,-40.546389,-11.939722
Eremanthus_incanus,-41.234167,-13.397778
Eremanthus_incanus,-42.25,-13.3925
Eremanthus_incanus,-39.516667,-12.766667
Eremanthus_incanus,-41.8925,-13.015278
Eremanthus_incanus,-41.868333,-13.0575
Eremanthus_incanus,-39.05,-16.433333
Eremanthus_incanus,-41.857222,-13.486111
Eremanthus_incanus,-41.943333,-13.5175
Eremanthus_incanus,-38.4,-12.166667
Eremanthus_incanus,-43.745,-19.513611
Eremanthus_incanus,-42,-16
Eremanthus_incanus,-43.553889,-19.319639
Eremanthus_incanus,-43.553222,-19.247028
Eremanthus_incanus,-41.680914,-19.408733
Eremanthus_incanus,-43.636667,-19.322778
Eremanthus_incanus,-43.333333,-18.1
Eremanthus_incanus,-43.588333,-18.203333
Eremanthus_incanus,-43.6719,-18.348
Eremanthus_incanus,-43.571111,-18.193333
Eremanthus_incanus,-43.987011,-20.049981
Eremanthus_incanus,-44.009658,-18.271028
Eremanthus_incanus,-43.6225,-18.188056
Eremanthus_incanus,-43.902222,-18.574167
Eremanthus_incanus,-43.323056,-18.099444
Eremanthus_incanus,-43.338333,-18.106389
Eremanthus_incanus,-43.343611,-18.096667
Eremanthus_incanus,-43.343056,-18.085278
Eremanthus_incanus,-43.363611,-18.075
Eremanthus_incanus,-44.659694,-21.588194
Eremanthus_incanus,-43.5,-20.35
Eremanthus_incanus,-43.013056,-16.916667
