species,long,lat
Gorceixia_decurrens,-41.376111,-19.374167
Gorceixia_decurrens,-40.876389,-19.230833
Gorceixia_decurrens,-40.776111,-19.191389
Gorceixia_decurrens,-40.593056,-18.707222
Gorceixia_decurrens,-40.876667,-19.231111
Gorceixia_decurrens,-40.61,-19.885
Gorceixia_decurrens,-39.970278,-12.840278
Gorceixia_decurrens,-39.97,-12.839444
Gorceixia_decurrens,-41.95,-13.533333
Gorceixia_decurrens,-41.815278,-13.612778
Gorceixia_decurrens,-43.083333,-17.244722
Gorceixia_decurrens,-43.4882806,-16.479542
Gorceixia_decurrens,-41.476747,-16.2262378
Gorceixia_decurrens,-42.715278,-17.093333
Gorceixia_decurrens,-42.527222,-17.069444
Gorceixia_decurrens,-42.392778,-16.218056
Gorceixia_decurrens,-42.349444,-16.059444
Gorceixia_decurrens,-42.52725,-17.069444
Gorceixia_decurrens,-40.81801378,-19.1444451
Gorceixia_decurrens,-40.59305597,-18.70722684
Gorceixia_decurrens,-42.715333,-17.0935
Gorceixia_decurrens,-42.7153,-17.0935
Gorceixia_decurrens,-40.553056,-19.9075
Gorceixia_decurrens,-42.00900497,-13.80884635
Gorceixia_decurrens,-40.10720868,-12.8166321
Gorceixia_decurrens,-39.97,-12.83944
Gorceixia_decurrens,-40.67974544,-19.71995163
Gorceixia_decurrens,-43.32881742,-16.93500558
Gorceixia_decurrens,-41.74060371,-13.58892581
Gorceixia_decurrens,-42.74450225,-17.07039662
Gorceixia_decurrens,-40.63556658,-19.87777874
Gorceixia_decurrens,-43.00598267,-16.93826941
Gorceixia_decurrens,-44.65770348,-18.45798563
Gorceixia_decurrens,-42.82101634,-16.71916745
Gorceixia_decurrens,-41.476667,-16.2225
Gorceixia_decurrens,-41.51091964,-16.27091345
Gorceixia_decurrens,-43.57732097,-16.50238977
Gorceixia_decurrens,-43.8616403,-20.5164228
Gorceixia_decurrens,-41.47689819,-16.22249985
Gorceixia_decurrens,-40.8144444,-18.5291667
Gorceixia_decurrens,-43.48830032,-16.47579956
Gorceixia_decurrens,-41.73166786,-12.47297852
Gorceixia_decurrens,-43.4881,-16.4758
Gorceixia_decurrens,-41.4767,-16.2225
Gorceixia_decurrens,-43.86169815,-16.73500061
Gorceixia_decurrens,-38.2830556,-12.5163889
