species,long,lat
Heterocoma_ekmaniana,-47.820555,-14.145277
Heterocoma_ekmaniana,-47.513889,-13.994444
Heterocoma_ekmaniana,-47.45,-14.13333
Heterocoma_ekmaniana,-47.25,-13.75
Heterocoma_ekmaniana,-47.51,-14.1325
Heterocoma_ekmaniana,-47.5101417,-14.1361864
Heterocoma_ekmaniana,-47.65562,-14.1167
Heterocoma_ekmaniana,-47.5333,-14.51924
Heterocoma_ekmaniana,-47.5167,-13.89074
Heterocoma_ekmaniana,-47.595278,-14.04001
Heterocoma_ekmaniana,-47.516667,-14.116667
Heterocoma_ekmaniana,-47.523875,-14.008483
Heterocoma_ekmaniana,-47.696111,-13.943889
Heterocoma_ekmaniana,-47.501667,-13.985556
Heterocoma_ekmaniana,-47.622971,-14.038359
Heterocoma_ekmaniana,-47.819444,-14.146667
Heterocoma_ekmaniana,-47.610278,-14.169167
Heterocoma_ekmaniana,-47.518333,-14.001944
Heterocoma_ekmaniana,-47.501,-13.62485
Heterocoma_ekmaniana,-47.696111,-13.943888
Heterocoma_ekmaniana,-47.516667,-13.985556
Heterocoma_ekmaniana,-47.53516279,-14.18302262
Heterocoma_ekmaniana,-47.6960508,-13.63517635
Heterocoma_ekmaniana,-47.610278,-14.169028
Heterocoma_ekmaniana,-47.45,-14.133333
Heterocoma_ekmaniana,-47.23758666,-13.68246413
Heterocoma_ekmaniana,-48.881011,-15.829546
Heterocoma_ekmaniana,-47.5097,-14.1325
Heterocoma_ekmaniana,-47.5952778,-14.04001
