species,long,lat
Hololepis_pedunculata,-43.558056,-19.263333
Hololepis_pedunculata,-43.391944,-18.43185
Hololepis_pedunculata,-43.678889,-19.822778
Hololepis_pedunculata,-43.879764,-20.255969
Hololepis_pedunculata,-43.684167,-20.091944
Hololepis_pedunculata,-44.472778,-22.176389
Hololepis_pedunculata,-43.482778,-20.429444
Hololepis_pedunculata,-44.033333,-20.044722
Hololepis_pedunculata,-43.691111,-20.056667
Hololepis_pedunculata,-43.683056,-20.093611
Hololepis_pedunculata,-44.340833,-20.12
Hololepis_pedunculata,-44.033333,-20.066667
Hololepis_pedunculata,-43.581167,-20.218806
Hololepis_pedunculata,-43.938083,-20.348444
Hololepis_pedunculata,-44.505556,-21.248611
Hololepis_pedunculata,-44.515258,-21.256967
Hololepis_pedunculata,-46.49858,-20.2343
Hololepis_pedunculata,-44.594222,-21.611556
Hololepis_pedunculata,-43.469444,-20.230278
Hololepis_pedunculata,-43.982778,-20.098055
Hololepis_pedunculata,-46.474722,-20.210833
Hololepis_pedunculata,-43.473167,-20.092167
Hololepis_pedunculata,-44,-20.114917
Hololepis_pedunculata,-43.68,-18.57
Hololepis_pedunculata,-43.492778,-20.1263
Hololepis_pedunculata,-43.67613,-19.82237
Hololepis_pedunculata,-43.4681,-20.1311
Hololepis_pedunculata,-46.664444,-20.171389
Hololepis_pedunculata,-42.731306,-15.653889
Hololepis_pedunculata,-40.546389,-20.123056
Hololepis_pedunculata,-43.403,-20.011825
Hololepis_pedunculata,-43.488109,-20.098789
Hololepis_pedunculata,-43.960278,-20.079444
Hololepis_pedunculata,-43.9425,-20.292778
Hololepis_pedunculata,-43.527778,-20.265278
Hololepis_pedunculata,-43.550556,-20.233056
Hololepis_pedunculata,-43.966667,-20.098889
Hololepis_pedunculata,-43.712222,-18.609444
Hololepis_pedunculata,-44,-18
Hololepis_pedunculata,-43.450833,-20.134444
Hololepis_pedunculata,-43.456389,-20.135555
Hololepis_pedunculata,-43.529167,-19.263333
Hololepis_pedunculata,-43.605,-20.197222
Hololepis_pedunculata,-43.924722,-20.147222
Hololepis_pedunculata,-43.478056,-19.469167
Hololepis_pedunculata,-43.514722,-20.154722
Hololepis_pedunculata,-43.5775,-19.103889
Hololepis_pedunculata,-43.516667,-19.25
Hololepis_pedunculata,-46.446111,-20.243055
Hololepis_pedunculata,-46.264722,-20.143611
Hololepis_pedunculata,-44.605333,-21.604778
Hololepis_pedunculata,-44.583889,-21.430278
Hololepis_pedunculata,-46.311389,-20.663611
Hololepis_pedunculata,-43.516167,-19.239444
Hololepis_pedunculata,-43.874444,-21.671944
Hololepis_pedunculata,-43.899444,-21.707222
Hololepis_pedunculata,-43.681917,-20.094403
Hololepis_pedunculata,-43.666667,-19.816667
Hololepis_pedunculata,-43.960556,-20.09
Hololepis_pedunculata,-43.991389,-20.077222
Hololepis_pedunculata,-43.317194,-18.401556
Hololepis_pedunculata,-43.954167,-20.0975
Hololepis_pedunculata,-43.5775,-20.018333
Hololepis_pedunculata,-43.525414,-20.120819
Hololepis_pedunculata,-43.488889,-20.04875
Hololepis_pedunculata,-43.307861,-18.207278
Hololepis_pedunculata,-43.938056,-20.322194
Hololepis_pedunculata,-43.474417,-20.164806
Hololepis_pedunculata,-43.521667,-20.161389
Hololepis_pedunculata,-43.983906,-20.107833
Hololepis_pedunculata,-44.016667,-20.05
Hololepis_pedunculata,-43.460569,-20.465176
Hololepis_pedunculata,-43.61077319,-20.39135163
Hololepis_pedunculata,-44.505478,-21.248486
Hololepis_pedunculata,-43.983939,-20.121699
Hololepis_pedunculata,-43.681667,-20.094167
Hololepis_pedunculata,-44.977222,-21.7175
Hololepis_pedunculata,-44.977222,-21.717381
Hololepis_pedunculata,-43.81589413,-20.25544977
Hololepis_pedunculata,-43.90441805,-20.07438198
Hololepis_pedunculata,-43.92351705,-20.1181989
Hololepis_pedunculata,-43.40841442,-20.07555444
Hololepis_pedunculata,-42.550258,-15.655086
Hololepis_pedunculata,-41.754515,-20.491553
Hololepis_pedunculata,-46.51358296,-20.18751146
Hololepis_pedunculata,-46.446389,-20.243333
Hololepis_pedunculata,-46.563611,-20.332222
Hololepis_pedunculata,-44.6127065,-21.49685517
Hololepis_pedunculata,-44.65770348,-18.45798563
Hololepis_pedunculata,-43.45582532,-22.92688214
Hololepis_pedunculata,-43.33199036,-20.32948798
Hololepis_pedunculata,-43.459774,-20.080494
Hololepis_pedunculata,-43.488628,-20.307797
Hololepis_pedunculata,-46.448155,-20.241898
Hololepis_pedunculata,-43.516667,-20.166667
Hololepis_pedunculata,-43.88491,-21.709665
Hololepis_pedunculata,-46.14450909,-20.61291941
Hololepis_pedunculata,-44.96445247,-21.73399716
Hololepis_pedunculata,-46.7738213,-20.35693828
Hololepis_pedunculata,-43.8616403,-20.5164228
Hololepis_pedunculata,-43.64555156,-19.18924536
Hololepis_pedunculata,-47.62446042,-19.88381861
Hololepis_pedunculata,-43.391648,-19.964584
Hololepis_pedunculata,-44.294781,-21.142823
Hololepis_pedunculata,-43.26852325,-18.47880082
Hololepis_pedunculata,-44.71115287,-21.3517634
Hololepis_pedunculata,-44.07896615,-22.78226596
Hololepis_pedunculata,-46.6644,-20.1714
Hololepis_pedunculata,-40.82695456,-20.56435256
Hololepis_pedunculata,-43.5883765,-19.28446618
Hololepis_pedunculata,-43.99288512,-20.33077985
Hololepis_pedunculata,-44.61885369,-21.20430235
Hololepis_pedunculata,-43.6376582,-19.86821438
Hololepis_pedunculata,-44.983878,-21.226226
Hololepis_pedunculata,-45.03927628,-21.26541101
Hololepis_pedunculata,-43.71863636,-19.44105614
Hololepis_pedunculata,-43.899251,-21.700496
Hololepis_pedunculata,-43.96021708,-19.90279697
Hololepis_pedunculata,-44.25412553,-19.43725545
Hololepis_pedunculata,-44.82281776,-22.01745431
Hololepis_pedunculata,-43.83710811,-19.7451491
Hololepis_pedunculata,-43.46526982,-21.74594544
Hololepis_pedunculata,-43.966944,-20.208611
Hololepis_pedunculata,-43.45,-20.116667
Hololepis_pedunculata,-43.5080986,-20.28750038
Hololepis_pedunculata,-41.66719818,-20.54140091
Hololepis_pedunculata,-44.26169968,-21.13559914
Hololepis_pedunculata,-44.98529816,-21.72220039
Hololepis_pedunculata,-44.999444,-21.245278
Hololepis_pedunculata,-44.600417,-21.600167
Hololepis_pedunculata,-44.941333,-21.346306
Hololepis_pedunculata,-45.881389,-21.354167
Hololepis_pedunculata,-44.64250183,-21.48749924
Hololepis_pedunculata,-44.87110138,-21.31690025
Hololepis_pedunculata,-44.596667,-21.611111
Hololepis_pedunculata,-43.8994,-21.7072
