species,long,lat
Lepidaploa_opposita,-40.530278,-19.971389
Lepidaploa_opposita,-40.535278,-19.968333
Lepidaploa_opposita,-41.555833,-20.938889
Lepidaploa_opposita,-40.775,-19.797222
Lepidaploa_opposita,-41.466944,-20.386111
Lepidaploa_opposita,-40.769167,-19.802222
Lepidaploa_opposita,-41.581389,-19.240278
Lepidaploa_opposita,-40.472222,-19.914167
Lepidaploa_opposita,-41.575753,-19.310472
Lepidaploa_opposita,-40.602778,-19.955556
Lepidaploa_opposita,-41.6725,-19.402778
Lepidaploa_opposita,-41.6725,-19.4028
Lepidaploa_opposita,-40.531545,-19.969888
