species,long,lat
Lessingianthus_durus,-48.283889,-15.160278
Lessingianthus_durus,-47.818333,-13.680833
Lessingianthus_durus,-47.884167,-15.945833
Lessingianthus_durus,-47.828278,-15.862444
Lessingianthus_durus,-47.905833,-15.926389
Lessingianthus_durus,-47.5004424,-14.7837005
Lessingianthus_durus,-52.361389,-14.716944
Lessingianthus_durus,-47.519167,-14.136111
Lessingianthus_durus,-47.844722,-15.980556
Lessingianthus_durus,-48.505833,-15.460556
Lessingianthus_durus,-48.343611,-15.629444
Lessingianthus_durus,-47.946944,-15.7375
Lessingianthus_durus,-47.861944,-15.904167
Lessingianthus_durus,-47.85,-15.866667
Lessingianthus_durus,-47.801944,-13.635
Lessingianthus_durus,-48.053889,-16.04
Lessingianthus_durus,-47.585833,-17.312222
Lessingianthus_durus,-47.905278,-15.573889
Lessingianthus_durus,-47.585,-17.330555
Lessingianthus_durus,-48.416667,-14.416667
Lessingianthus_durus,-47.683333,-15.5
Lessingianthus_durus,-47.68333,-15.5
Lessingianthus_durus,-47.7,-15.95
Lessingianthus_durus,-43.970556,-20.284514
Lessingianthus_durus,-47.742778,-20.356111
Lessingianthus_durus,-47.8775,-15.947222
Lessingianthus_durus,-47.783333,-15.8
Lessingianthus_durus,-48.3125,-13.586111
Lessingianthus_durus,-46.904583,-20.290667
Lessingianthus_durus,-47.383333,-15.883333
Lessingianthus_durus,-47.38333,-15.88333
Lessingianthus_durus,-49.521667,-18.758333
Lessingianthus_durus,-48.453056,-14.450833
Lessingianthus_durus,-47.894167,-14.229444
Lessingianthus_durus,-47.5625,-15.4375
Lessingianthus_durus,-47.764361,-16.022111
Lessingianthus_durus,-47.907778,-15.750278
Lessingianthus_durus,-48.966111,-15.385278
Lessingianthus_durus,-48.355,-15.253056
Lessingianthus_durus,-47.240833,-13.450278
Lessingianthus_durus,-46.97,-12.871667
Lessingianthus_durus,-45.0425,-17.221944
Lessingianthus_durus,-47.698056,-17.551111
Lessingianthus_durus,-48.033333,-15.566667
