species,long,lat
Lessingianthus_monocephalus,-46.173611,-13.356389
Lessingianthus_monocephalus,-54.583333,-9.583333
Lessingianthus_monocephalus,-48.45,-6.216667
Lessingianthus_monocephalus,-47.656667,-14.133056
Lessingianthus_monocephalus,-48.9,-10.166667
Lessingianthus_monocephalus,-48.053889,-16.04
Lessingianthus_monocephalus,-47.779167,-14.1725
Lessingianthus_monocephalus,-47.585833,-17.312222
Lessingianthus_monocephalus,-55.792778,-14.714444
Lessingianthus_monocephalus,-47.419722,-13.919444
Lessingianthus_monocephalus,-46.230556,-14.867222
Lessingianthus_monocephalus,-47.133333,-8.6
Lessingianthus_monocephalus,-49.675,-15.883333
Lessingianthus_monocephalus,-47.833333,-15.583333
Lessingianthus_monocephalus,-47.5,-14.666667
Lessingianthus_monocephalus,-50.383333,-6.383333
Lessingianthus_monocephalus,-46,-13.833333
Lessingianthus_monocephalus,-47.5101417,-14.1361864
Lessingianthus_monocephalus,-54.58,-9.583333
Lessingianthus_monocephalus,-47.666667,-15.616667
Lessingianthus_monocephalus,-47.5167,-14.29747
Lessingianthus_monocephalus,-46.348333,-12.305556
Lessingianthus_monocephalus,-46.65,-10.55
Lessingianthus_monocephalus,-46.966667,-8.5
Lessingianthus_monocephalus,-48.194444,-16.272222
Lessingianthus_monocephalus,-53.678056,-18.148333
Lessingianthus_monocephalus,-47.700833,-18.047222
Lessingianthus_monocephalus,-48.5725,-6.2025
Lessingianthus_monocephalus,-48.1783,-14.4756
Lessingianthus_monocephalus,-47.828611,-14.196111
Lessingianthus_monocephalus,-54.466667,-10.416667
Lessingianthus_monocephalus,-47.42,-7.13
Lessingianthus_monocephalus,-48.1,-15.66667
Lessingianthus_monocephalus,-45.75,-13
Lessingianthus_monocephalus,-48.216667,-14.15
Lessingianthus_monocephalus,-47.53516279,-14.18302262
Lessingianthus_monocephalus,-47.76832429,-17.55137299
Lessingianthus_monocephalus,-43.61023331,-17.99283125
Lessingianthus_monocephalus,-47.828811,-14.196331
Lessingianthus_monocephalus,-47.8288,-14.1963
Lessingianthus_monocephalus,-50.385556,-6.383611
Lessingianthus_monocephalus,-45.19246678,-17.28671072
Lessingianthus_monocephalus,-44.65770348,-18.45798563
Lessingianthus_monocephalus,-46.158647,-15.12993378
Lessingianthus_monocephalus,-53.58728575,-10.14769299
Lessingianthus_monocephalus,-54.61723627,-9.77517023
Lessingianthus_monocephalus,-44.252657,-17.7156
Lessingianthus_monocephalus,-44.11153188,-17.67646642
Lessingianthus_monocephalus,-48.74348916,-6.18220362
Lessingianthus_monocephalus,-48.1,-15.666667
Lessingianthus_monocephalus,-45.9911,-13.9497
Lessingianthus_monocephalus,-41.73166786,-12.47297852
Lessingianthus_monocephalus,-45.40719781,-13.47772154
Lessingianthus_monocephalus,-45.4838704,-12.79934301
Lessingianthus_monocephalus,-47.79722597,-15.78111952
Lessingianthus_monocephalus,-48.40170407,-14.49860503
Lessingianthus_monocephalus,-55.53969223,-15.10835317
Lessingianthus_monocephalus,-49.62332081,-16.04442885
Lessingianthus_monocephalus,-54.58,-9.58
Lessingianthus_monocephalus,-53.06377009,-3.974215
Lessingianthus_monocephalus,-48.28347161,-16.08586986
Lessingianthus_monocephalus,-50.24302492,-15.84686346
Lessingianthus_monocephalus,-45.68855636,-12.08005454
Lessingianthus_monocephalus,-47.75182663,-15.28340065
Lessingianthus_monocephalus,-47.516667,-14.2975
Lessingianthus_monocephalus,-54.58333333,-9.58333333
Lessingianthus_monocephalus,-47.5097,-14.1325
Lessingianthus_monocephalus,-54.5833333,-9.5833333
Lessingianthus_monocephalus,-54.5833334,-9.5833334
Lessingianthus_monocephalus,-47.7,-17.5486111
