species,long,lat
Lychnophorella_santosii,-42.259722,-13.7475
Lychnophorella_santosii,-41.309444,-13.686944
Lychnophorella_santosii,-41.308333,-13.686111
Lychnophorella_santosii,-41.760833,-13.150278
Lychnophorella_santosii,-41.474148,-12.452901
Lychnophorella_santosii,-41.854167,-13.316111
Lychnophorella_santosii,-41.298889,-13.694167
Lychnophorella_santosii,-41.888889,-13.039167
Lychnophorella_santosii,-41.309444,-13.686389
Lychnophorella_santosii,-41.829167,-13.451111
Lychnophorella_santosii,-41.883334,-13.333333
Lychnophorella_santosii,-41.9,-13.266667
Lychnophorella_santosii,-41.833333,-13.316667
Lychnophorella_santosii,-41.9,-13.116667
Lychnophorella_santosii,-41.77,-13.28
Lychnophorella_santosii,-41.366667,-13
Lychnophorella_santosii,-41.3,-13.583333
Lychnophorella_santosii,-41.766667,-13.15
Lychnophorella_santosii,-41.833333,-13.466667
Lychnophorella_santosii,-41.58,-13.32
Lychnophorella_santosii,-41.3,-13.7
Lychnophorella_santosii,-41.766667,-13.283333
Lychnophorella_santosii,-41.868611,-13.536389
Lychnophorella_santosii,-41.28,-13.41
Lychnophorella_santosii,-41.83,-13.47
Lychnophorella_santosii,-41.473611,-12.963889
Lychnophorella_santosii,-41.738611,-13.266944
Lychnophorella_santosii,-41.7925,-13.071944
Lychnophorella_santosii,-41.938056,-13.084167
Lychnophorella_santosii,-41.938889,-13.519722
Lychnophorella_santosii,-41.949722,-13.519722
Lychnophorella_santosii,-41.909444,-13.264722
Lychnophorella_santosii,-41.439722,-12.795556
Lychnophorella_santosii,-41.289167,-13.681111
Lychnophorella_santosii,-41.308889,-13.689167
Lychnophorella_santosii,-41.91666,-13.25
Lychnophorella_santosii,-41.3667,-13
Lychnophorella_santosii,-41.816667,-12.283333
Lychnophorella_santosii,-41.47,-12.980278
Lychnophorella_santosii,-41.860278,-13.082778
Lychnophorella_santosii,-41.808056,-13.155833
Lychnophorella_santosii,-41.853333,-13.095833
Lychnophorella_santosii,-41.92,-13.25
Lychnophorella_santosii,-41,-13
Lychnophorella_santosii,-41.875556,-13.546389
Lychnophorella_santosii,-42.603056,-13.876667
Lychnophorella_santosii,-41.935556,-13.54975
Lychnophorella_santosii,-41.833333,-13.283333
Lychnophorella_santosii,-41.65,-13.233333
Lychnophorella_santosii,-41.961194,-13.524389
Lychnophorella_santosii,-41.961083,-13.524722
Lychnophorella_santosii,-41.90166,-13.29083
Lychnophorella_santosii,-41.9,-13.283333
Lychnophorella_santosii,-41.94335,-13.526361
Lychnophorella_santosii,-41.970687,-13.526289
Lychnophorella_santosii,-41.961111,-13.523611
Lychnophorella_santosii,-41.943333,-13.5175
Lychnophorella_santosii,-41.9611,-13.5247
Lychnophorella_santosii,-41.37088035,-12.88078193
Lychnophorella_santosii,-41.906516,-13.294852
Lychnophorella_santosii,-41.48395519,-13.05221426
Lychnophorella_santosii,-41.379444,-13.073333
Lychnophorella_santosii,-41.73166786,-12.47297852
Lychnophorella_santosii,-41.73142106,-13.28727065
Lychnophorella_santosii,-42.32,-13.9
Lychnophorella_santosii,-41.811389,-13.578889
Lychnophorella_santosii,-42.06264319,-13.41291779
Lychnophorella_santosii,-41.74060371,-13.58892581
Lychnophorella_santosii,-41.93,-13.3
Lychnophorella_santosii,-41.81140137,-13.57890034
