species,long,lat
Maschalostachys_mellosilvae,-42.533333,-14.516944
Maschalostachys_mellosilvae,-42.731111,-15.653889
Maschalostachys_mellosilvae,-42.870833,-16.220556
Maschalostachys_mellosilvae,-42.526389,-14.583333
Maschalostachys_mellosilvae,-42.731306,-15.653889
Maschalostachys_mellosilvae,-42.791389,-15.136944
Maschalostachys_mellosilvae,-42.791111,-15.141389
Maschalostachys_mellosilvae,-42.816389,-15.231944
Maschalostachys_mellosilvae,-42.819167,-15.968333
Maschalostachys_mellosilvae,-42.540278,-14.586389
Maschalostachys_mellosilvae,-42.779444,-15.388611
Maschalostachys_mellosilvae,-42.550833,-14.653056
Maschalostachys_mellosilvae,-42.554444,-14.646111
Maschalostachys_mellosilvae,-42.773056,-15.811111
Maschalostachys_mellosilvae,-42.820278,-15.676944
Maschalostachys_mellosilvae,-42.791944,-15.141667
Maschalostachys_mellosilvae,-42.5264,-14.5833
Maschalostachys_mellosilvae,-42.540278,-14.586403
Maschalostachys_mellosilvae,-42.54676037,-14.75258842
Maschalostachys_mellosilvae,-42.46647308,-14.59144156
Maschalostachys_mellosilvae,-42.8192,-15.9683
Maschalostachys_mellosilvae,-42.8191667,-15.9683334
