species,long,lat
Paralychnophora_harleyi,-41.8114684,-13.5828799
Paralychnophora_harleyi,-41.87,-13.3
Paralychnophora_harleyi,-41.85,-13.32
Paralychnophora_harleyi,-41.5147,-12.5717
Paralychnophora_harleyi,-41.83,-13.47
Paralychnophora_harleyi,-41.966667,-13.516667
Paralychnophora_harleyi,-41.83,-13.22
Paralychnophora_harleyi,-41.4556,-12.4556
Paralychnophora_harleyi,-42.3225,-13.711667
Paralychnophora_harleyi,-41.472222,-12.45
Paralychnophora_harleyi,-39.886667,-13.283333
Paralychnophora_harleyi,-42.522778,-14.368056
Paralychnophora_harleyi,-41.353889,-12.994722
Paralychnophora_harleyi,-39.527222,-12.77
Paralychnophora_harleyi,-41.366667,-13.116667
Paralychnophora_harleyi,-41.364782,-12.471566
Paralychnophora_harleyi,-41.62,-13.0225
Paralychnophora_harleyi,-41.3241,-12.3241
Paralychnophora_harleyi,-41.316667,-12.65
Paralychnophora_harleyi,-41,-13
Paralychnophora_harleyi,-41.569444,-13.6725
Paralychnophora_harleyi,-41.363667,-13.003889
Paralychnophora_harleyi,-41.286389,-13.681667
Paralychnophora_harleyi,-41.473056,-12.455833
Paralychnophora_harleyi,-41.829167,-13.451111
Paralychnophora_harleyi,-41.765,-13.151111
Paralychnophora_harleyi,-41.36556,-13.02083
Paralychnophora_harleyi,-41.363611,-12.545
Paralychnophora_harleyi,-41,-12
Paralychnophora_harleyi,-41.506111,-12.588333
Paralychnophora_harleyi,-41.375833,-13.0075
Paralychnophora_harleyi,-41.338611,-12.803333
Paralychnophora_harleyi,-41.15,-11.55
Paralychnophora_harleyi,-41.370556,-13.006111
Paralychnophora_harleyi,-41.871667,-13.545833
Paralychnophora_harleyi,-41.759167,-13.241944
Paralychnophora_harleyi,-41.299444,-12.973889
Paralychnophora_harleyi,-41.35,-13.01667
Paralychnophora_harleyi,-41.83333,-13.46667
Paralychnophora_harleyi,-41.316667,-12.833333
Paralychnophora_harleyi,-41.841111,-13.578889
Paralychnophora_harleyi,-41.320556,-12.957222
Paralychnophora_harleyi,-41.766111,-13.149167
Paralychnophora_harleyi,-42.522778,-14.534722
Paralychnophora_harleyi,-41.383333,-12.566667
Paralychnophora_harleyi,-41.774722,-13.156389
Paralychnophora_harleyi,-41.828611,-13.598333
Paralychnophora_harleyi,-41.9475,-13.514444
Paralychnophora_harleyi,-41.327911,-12.939004
Paralychnophora_harleyi,-41.471389,-12.458611
Paralychnophora_harleyi,-41.193889,-11.438056
Paralychnophora_harleyi,-40.503611,-11.332778
Paralychnophora_harleyi,-41.195278,-13.596944
Paralychnophora_harleyi,-41.365833,-13.026944
Paralychnophora_harleyi,-41.473333,-12.455278
Paralychnophora_harleyi,-41.945278,-13.524167
Paralychnophora_harleyi,-41.340833,-12.988333
Paralychnophora_harleyi,-41.3,-13.05
Paralychnophora_harleyi,-41.455556,-12.455556
Paralychnophora_harleyi,-41.440278,-12.459722
Paralychnophora_harleyi,-41.887778,-13.079167
Paralychnophora_harleyi,-41.392894,-12.561822
Paralychnophora_harleyi,-41.281667,-13.227778
Paralychnophora_harleyi,-41.394647,-12.562654
Paralychnophora_harleyi,-41.828056,-13.594167
Paralychnophora_harleyi,-41.355917,-12.991472
Paralychnophora_harleyi,-41.341389,-12.992222
Paralychnophora_harleyi,-41.366667,-13
Paralychnophora_harleyi,-41.341111,-12.998056
