species,long,lat
Piptolepis_ericoides,-43.565347,-19.391335
Piptolepis_ericoides,-43.751667,-18.808333
Piptolepis_ericoides,-43.583333,-19.333333
Piptolepis_ericoides,-43.885278,-18.613889
Piptolepis_ericoides,-43.509722,-19.234444
Piptolepis_ericoides,-43.508611,-19.230833
Piptolepis_ericoides,-43.508333,-19.230833
Piptolepis_ericoides,-43.508611,-19.231111
Piptolepis_ericoides,-43.551944,-19.260833
Piptolepis_ericoides,-43.331944,-19.365556
Piptolepis_ericoides,-43.331667,-19.366389
Piptolepis_ericoides,-43.333056,-19.365833
Piptolepis_ericoides,-42.955,-16.598889
Piptolepis_ericoides,-42.955,-16.599167
Piptolepis_ericoides,-42.955,-16.599722
Piptolepis_ericoides,-42.955278,-16.600556
Piptolepis_ericoides,-42.955278,-16.601389
Piptolepis_ericoides,-42.955278,-16.601667
Piptolepis_ericoides,-42.955556,-16.6025
Piptolepis_ericoides,-42.956667,-16.603611
Piptolepis_ericoides,-43.486667,-20.436389
Piptolepis_ericoides,-43.481944,-20.429444
Piptolepis_ericoides,-43.474722,-20.429167
Piptolepis_ericoides,-43.474444,-17.550556
Piptolepis_ericoides,-43.345,-18.116111
Piptolepis_ericoides,-43.4825,-17.532778
Piptolepis_ericoides,-43.456944,-19.5125
Piptolepis_ericoides,-43.526944,-19.26
Piptolepis_ericoides,-43.51,-19.246944
Piptolepis_ericoides,-43.920278,-18.188611
Piptolepis_ericoides,-43.488972,-20.432583
Piptolepis_ericoides,-42.892222,-16.589722
Piptolepis_ericoides,-43.521389,-19.246389
Piptolepis_ericoides,-43.286206,-19.380892
Piptolepis_ericoides,-42.933333,-16.616667
Piptolepis_ericoides,-42.883333,-16.55
Piptolepis_ericoides,-42.8895409,-16.5631442
Piptolepis_ericoides,-42.889722,-16.559444
Piptolepis_ericoides,-43.5,-19.233333
Piptolepis_ericoides,-43.67,-18.55
Piptolepis_ericoides,-42.9786,-16.6349
Piptolepis_ericoides,-46.293333,-20.603611
Piptolepis_ericoides,-43.554722,-19.261111
Piptolepis_ericoides,-42.928083,-16.613
Piptolepis_ericoides,-43.529139,-19.322167
Piptolepis_ericoides,-43.532222,-19.260833
Piptolepis_ericoides,-43.510556,-19.2475
Piptolepis_ericoides,-43.333333,-18.116667
Piptolepis_ericoides,-43.3,-16.6
Piptolepis_ericoides,-43.519167,-19.256944
Piptolepis_ericoides,-43.342222,-18.228333
Piptolepis_ericoides,-43.806389,-17.891667
Piptolepis_ericoides,-43.451389,-20.134722
Piptolepis_ericoides,-43.498611,-19.4875
Piptolepis_ericoides,-43.835806,-19.374167
Piptolepis_ericoides,-43.489722,-20.431944
Piptolepis_ericoides,-43.453056,-20.134167
Piptolepis_ericoides,-43.474167,-20.4275
Piptolepis_ericoides,-43.4825,-20.4325
Piptolepis_ericoides,-43.551944,-19.261111
Piptolepis_ericoides,-42.893889,-16.557222
Piptolepis_ericoides,-43.271667,-19.4175
Piptolepis_ericoides,-43.271389,-19.428333
Piptolepis_ericoides,-43.516667,-19.25
Piptolepis_ericoides,-43.516167,-19.239444
Piptolepis_ericoides,-43.58,-19.17
Piptolepis_ericoides,-43.914444,-18.638333
Piptolepis_ericoides,-44.365306,-17.743611
Piptolepis_ericoides,-43.324722,-17.147222
Piptolepis_ericoides,-43.32881742,-16.93500558
Piptolepis_ericoides,-43.83349413,-18.52352325
Piptolepis_ericoides,-43.50517954,-18.94213501
Piptolepis_ericoides,-43.64555156,-19.18924536
Piptolepis_ericoides,-43.51,-19.234444
Piptolepis_ericoides,-42.955278,-16.603333
Piptolepis_ericoides,-43.5883765,-19.28446618
Piptolepis_ericoides,-43.851389,-19.420833
Piptolepis_ericoides,-43.494013,-20.099351
Piptolepis_ericoides,-43.795833,-17.918333
Piptolepis_ericoides,-43.00598267,-16.93826941
Piptolepis_ericoides,-43.767694,-18.808508
Piptolepis_ericoides,-43.343028,-18.129497
Piptolepis_ericoides,-43.580556,-18.2
Piptolepis_ericoides,-43.460569,-20.465176
Piptolepis_ericoides,-43.509722,-19.234167
Piptolepis_ericoides,-43.5097,-19.2342
Piptolepis_ericoides,-46.14450909,-20.61291941
Piptolepis_ericoides,-44.65770348,-18.45798563
Piptolepis_ericoides,-43.40841442,-20.07555444
Piptolepis_ericoides,-43.461121,-20.430548
Piptolepis_ericoides,-42.9,-16.5667
Piptolepis_ericoides,-42.99374881,-16.46407905
Piptolepis_ericoides,-42.89219493,-16.58953346
Piptolepis_ericoides,-43.61077319,-20.39135163
Piptolepis_ericoides,-43.35194766,-19.39672401
Piptolepis_ericoides,-43.71863636,-19.44105614
Piptolepis_ericoides,-42.93,-16.62
Piptolepis_ericoides,-40.49428083,-15.16312041
Piptolepis_ericoides,-42.889444,-16.559444
Piptolepis_ericoides,-43.60989,-19.366233
Piptolepis_ericoides,-44.25412553,-19.43725545
Piptolepis_ericoides,-43.459774,-20.080494
Piptolepis_ericoides,-43.61023331,-17.99283125
Piptolepis_ericoides,-43.391648,-19.964584
Piptolepis_ericoides,-43.6376582,-19.86821438
Piptolepis_ericoides,-43.83710811,-19.7451491
Piptolepis_ericoides,-42.978611,-16.635
Piptolepis_ericoides,-43.41609955,-20.37779999
Piptolepis_ericoides,-42.88970184,-16.55940056
Piptolepis_ericoides,-42.86220169,-16.8003006
Piptolepis_ericoides,-42.8894,-16.5594
Piptolepis_ericoides,-43.60029984,-18.24939919
