species,long,lat
Pseudostifftia_kingii,-41.341667,-12.996944
Pseudostifftia_kingii,-41.760833,-13.150278
Pseudostifftia_kingii,-41.949917,-13.518361
Pseudostifftia_kingii,-41.62,-13.0225
Pseudostifftia_kingii,-41.569444,-13.6725
Pseudostifftia_kingii,-41.35,-12.31667
Pseudostifftia_kingii,-41.885833,-13.375833
Pseudostifftia_kingii,-41.956389,-13.524444
Pseudostifftia_kingii,-41.341389,-12.993333
Pseudostifftia_kingii,-41.366667,-13
Pseudostifftia_kingii,-41.933333,-13.533333
Pseudostifftia_kingii,-41.3706394,-13.0092667
Pseudostifftia_kingii,-41.344167,-12.986667
Pseudostifftia_kingii,-41.943333,-13.5175
Pseudostifftia_kingii,-41.933333,-13.516667
Pseudostifftia_kingii,-41.356522,-12.988623
Pseudostifftia_kingii,-41.33333,-12.98333
Pseudostifftia_kingii,-41.376667,-13.006667
Pseudostifftia_kingii,-41.323889,-12.937778
Pseudostifftia_kingii,-41,-13
Pseudostifftia_kingii,-41.946944,-13.524167
Pseudostifftia_kingii,-41.281667,-13.227778
Pseudostifftia_kingii,-41.343611,-13.443333
Pseudostifftia_kingii,-41.301389,-12.952083
Pseudostifftia_kingii,-41.351667,-13.008333
Pseudostifftia_kingii,-41.341389,-12.992222
Pseudostifftia_kingii,-41.343889,-13.016667
Pseudostifftia_kingii,-41.341111,-12.998056
Pseudostifftia_kingii,-41.356111,-13.010556
Pseudostifftia_kingii,-41.391389,-13.000278
Pseudostifftia_kingii,-41.346389,-12.998889
Pseudostifftia_kingii,-41.348333,-12.989722
Pseudostifftia_kingii,-41.829167,-13.451111
Pseudostifftia_kingii,-41.94335,-13.526361
Pseudostifftia_kingii,-41.377222,-13.084167
Pseudostifftia_kingii,-41.956111,-13.525528
Pseudostifftia_kingii,-41.884675,-13.370759
Pseudostifftia_kingii,-41.48395519,-13.05221426
Pseudostifftia_kingii,-41.74060371,-13.58892581
Pseudostifftia_kingii,-41.2054,-12.5923
Pseudostifftia_kingii,-41.3483,-12.9897
Pseudostifftia_kingii,-41.970687,-13.526289
Pseudostifftia_kingii,-41.9433,-13.5175
Pseudostifftia_kingii,-41.3464,-12.9989
Pseudostifftia_kingii,-41.341528,-12.996417
Pseudostifftia_kingii,-41.3415,-12.9964
Pseudostifftia_kingii,-41.333333,-12.983333
Pseudostifftia_kingii,-41.376694,-13.006806
Pseudostifftia_kingii,-41.34499971,-13.37871216
Pseudostifftia_kingii,-41.37088035,-12.88078193
Pseudostifftia_kingii,-41.73166786,-12.47297852
Pseudostifftia_kingii,-41.37,-13
Pseudostifftia_kingii,-41.73142106,-13.28727065
Pseudostifftia_kingii,-41.844517,-13.290376
Pseudostifftia_kingii,-41.851944,-13.319444
Pseudostifftia_kingii,-41.93,-13.52
Pseudostifftia_kingii,-41.745519,-13.185354
Pseudostifftia_kingii,-41.3442,-12.9867
Pseudostifftia_kingii,-42.4,-13.82
Pseudostifftia_kingii,-41.92,-13.25
Pseudostifftia_kingii,-41.8,-13.28
Pseudostifftia_kingii,-41.85,-13.32
Pseudostifftia_kingii,-41.88,-13.32
Pseudostifftia_kingii,-41.78,-13.27
Pseudostifftia_kingii,-41.87902762,-13.03774692
Pseudostifftia_kingii,-41.83,-13.22
Pseudostifftia_kingii,-41.93,-13.53
Pseudostifftia_kingii,-41.35,-12.316667
Pseudostifftia_kingii,-41.370556,-13.005556
Pseudostifftia_kingii,-41.99722222,-12.18305556
Pseudostifftia_kingii,-41.3706,-13.0056
Pseudostifftia_kingii,-41.3666667,-13.0833333
