species,long,lat
Stilpnopappus_speciosus,-51.8167,-17.2167
Stilpnopappus_speciosus,-51.94808,-15.7622
Stilpnopappus_speciosus,-46.75,-13.233333
Stilpnopappus_speciosus,-52.290278,-14.531389
Stilpnopappus_speciosus,-55.44,-15.84
Stilpnopappus_speciosus,-59.733333,-13.633333
Stilpnopappus_speciosus,-60.73,-14.52
Stilpnopappus_speciosus,-48.031389,-16.0225
Stilpnopappus_speciosus,-47.859939,-15.874783
Stilpnopappus_speciosus,-47.9375,-15.8125
Stilpnopappus_speciosus,-49.4,-17.333333
Stilpnopappus_speciosus,-49.4,-17.33
Stilpnopappus_speciosus,-46.411306,-20.571722
Stilpnopappus_speciosus,-48.01,-15.55
Stilpnopappus_speciosus,-50.636944,-16.989722
Stilpnopappus_speciosus,-51.736667,-15.382778
Stilpnopappus_speciosus,-52.172861,-15.313806
Stilpnopappus_speciosus,-52.907778,-18.905278
Stilpnopappus_speciosus,-59.606944,-14.870556
Stilpnopappus_speciosus,-55.958889,-14.558056
Stilpnopappus_speciosus,-53,-18
Stilpnopappus_speciosus,-47.516667,-14.116667
Stilpnopappus_speciosus,-47.885833,-22.235
Stilpnopappus_speciosus,-50.627222,-16.992778
Stilpnopappus_speciosus,-51.75,-12.85
Stilpnopappus_speciosus,-48,-15.52
Stilpnopappus_speciosus,-47.819064,-20.438203
Stilpnopappus_speciosus,-60.75805,-14.55833
Stilpnopappus_speciosus,-48.01667,-15.91667
Stilpnopappus_speciosus,-48.748333,-17.779444
Stilpnopappus_speciosus,-56.6238383,-16.2605995
Stilpnopappus_speciosus,-52.1590428,-14.0539732
Stilpnopappus_speciosus,-52.2574556,-15.8940108
Stilpnopappus_speciosus,-52.08,-13.92
Stilpnopappus_speciosus,-52.33,-14.6667
Stilpnopappus_speciosus,-51.8,-17.25
Stilpnopappus_speciosus,-51.8,-17.15
Stilpnopappus_speciosus,-54.312778,-18.952222
Stilpnopappus_speciosus,-60.3833,-14.8167
Stilpnopappus_speciosus,-47.65,-16.03
Stilpnopappus_speciosus,-47.8,-16.05
Stilpnopappus_speciosus,-56.08,-13.58
Stilpnopappus_speciosus,-47.466667,-20.25
Stilpnopappus_speciosus,-45.458333,-20.254444
Stilpnopappus_speciosus,-52.35,-14.69
Stilpnopappus_speciosus,-60.81444,-13.90611
Stilpnopappus_speciosus,-60.81277,-13.89861
Stilpnopappus_speciosus,-47.85,-15.866667
Stilpnopappus_speciosus,-47.51,-15.52
Stilpnopappus_speciosus,-47.2,-17.2
Stilpnopappus_speciosus,-54.025556,-18.681389
Stilpnopappus_speciosus,-55.151944,-19.739722
Stilpnopappus_speciosus,-52.933889,-18.702222
Stilpnopappus_speciosus,-47.666667,-16.75
Stilpnopappus_speciosus,-50.608056,-18.341389
Stilpnopappus_speciosus,-62.05,-14.41666
Stilpnopappus_speciosus,-48.070528,-15.927778
Stilpnopappus_speciosus,-49.280278,-19.016111
Stilpnopappus_speciosus,-44.27,-15.995
Stilpnopappus_speciosus,-47.460278,-20.247778
Stilpnopappus_speciosus,-47.251111,-20.115
Stilpnopappus_speciosus,-52.233333,-15.916667
Stilpnopappus_speciosus,-52.25,-15.866667
Stilpnopappus_speciosus,-53.725556,-16.2125
Stilpnopappus_speciosus,-52.35,-14.516667
Stilpnopappus_speciosus,-56.15,-14.36
Stilpnopappus_speciosus,-56.11,-14.32
Stilpnopappus_speciosus,-56.53,-14.23
Stilpnopappus_speciosus,-56.27,-14.2
Stilpnopappus_speciosus,-56.533333,-13.866667
Stilpnopappus_speciosus,-55.04,-14.45
Stilpnopappus_speciosus,-54.5,-14.49
Stilpnopappus_speciosus,-48.08149193,-22.27281012
Stilpnopappus_speciosus,-47.91,-22.25
Stilpnopappus_speciosus,-51.80405917,-15.12675874
Stilpnopappus_speciosus,-49.54393544,-18.99253509
Stilpnopappus_speciosus,-59.6069,-14.8706
Stilpnopappus_speciosus,-49.467778,-19.033333
Stilpnopappus_speciosus,-55.80451807,-14.65874019
Stilpnopappus_speciosus,-46.7738213,-20.35693828
Stilpnopappus_speciosus,-47.79722597,-15.78111952
Stilpnopappus_speciosus,-47.856125,-15.907056
Stilpnopappus_speciosus,-46.14450909,-20.61291941
Stilpnopappus_speciosus,-44.65770348,-18.45798563
Stilpnopappus_speciosus,-44.273078,-15.997316
Stilpnopappus_speciosus,-49.62332081,-16.04442885
Stilpnopappus_speciosus,-44.32919606,-15.94520074
Stilpnopappus_speciosus,-55.77997766,-14.36421372
Stilpnopappus_speciosus,-47.445,-20.217222
Stilpnopappus_speciosus,-47.949091,-15.948194
Stilpnopappus_speciosus,-55.05756975,-19.80657232
Stilpnopappus_speciosus,-47.19588002,-19.400342
Stilpnopappus_speciosus,-48.053889,-16.04
Stilpnopappus_speciosus,-47.419444,-20.197222
Stilpnopappus_speciosus,-47.134545,-19.201273
Stilpnopappus_speciosus,-48.837511,-15.790103
