species,long,lat
Stilpnopappus_tomentosus,-41.494444,-12.496667
Stilpnopappus_tomentosus,-41.477778,-12.460278
Stilpnopappus_tomentosus,-41.798889,-13.595278
Stilpnopappus_tomentosus,-41.316667,-13.690833
Stilpnopappus_tomentosus,-41.316667,-13.324167
Stilpnopappus_tomentosus,-41.760833,-13.750278
Stilpnopappus_tomentosus,-41.8114684,-13.5828799
Stilpnopappus_tomentosus,-41.47501,-12.453258
Stilpnopappus_tomentosus,-41.5,-12.5
Stilpnopappus_tomentosus,-41.883334,-13.033333
Stilpnopappus_tomentosus,-41.45,-12.45
Stilpnopappus_tomentosus,-41.813444,-13.580844
Stilpnopappus_tomentosus,-41.935556,-13.54975
Stilpnopappus_tomentosus,-41.286389,-13.681667
Stilpnopappus_tomentosus,-41.800833,-13.552222
Stilpnopappus_tomentosus,-41.954167,-13.523611
Stilpnopappus_tomentosus,-41.816667,-13.816667
Stilpnopappus_tomentosus,-41.945833,-13.938611
Stilpnopappus_tomentosus,-41.337222,-13.556389
Stilpnopappus_tomentosus,-41.802222,-13.555944
Stilpnopappus_tomentosus,-41.808056,-13.069444
Stilpnopappus_tomentosus,-41.091944,-11.584167
Stilpnopappus_tomentosus,-41.866667,-13.866667
Stilpnopappus_tomentosus,-41.816667,-13.083333
Stilpnopappus_tomentosus,-41.85,-13.85
Stilpnopappus_tomentosus,-41.806667,-13.069722
Stilpnopappus_tomentosus,-41.888611,-13.285278
Stilpnopappus_tomentosus,-41.883333,-13.283333
Stilpnopappus_tomentosus,-41.066667,-11.583333
Stilpnopappus_tomentosus,-41.883056,-13.370556
Stilpnopappus_tomentosus,-41.017222,-11.605833
Stilpnopappus_tomentosus,-41.466667,-12.459722
Stilpnopappus_tomentosus,-41.9,-13.25
Stilpnopappus_tomentosus,-41.866667,-13.3
Stilpnopappus_tomentosus,-41.55,-12.65
Stilpnopappus_tomentosus,-41.833333,-13.466667
Stilpnopappus_tomentosus,-41.816667,-13.483333
Stilpnopappus_tomentosus,-41.416667,-13.666667
Stilpnopappus_tomentosus,-41.366667,-13.1
Stilpnopappus_tomentosus,-41.466667,-12.45
Stilpnopappus_tomentosus,-41.3,-13.7
Stilpnopappus_tomentosus,-41.983333,-13.5
Stilpnopappus_tomentosus,-41.3,-13.416667
Stilpnopappus_tomentosus,-41.95,-13.53333
Stilpnopappus_tomentosus,-41.884167,-13.885278
Stilpnopappus_tomentosus,-41.9,-13.9
Stilpnopappus_tomentosus,-41.841389,-13.837778
Stilpnopappus_tomentosus,-41.1,-11.581944
Stilpnopappus_tomentosus,-41.776667,-13.767222
Stilpnopappus_tomentosus,-41.738889,-13.733611
Stilpnopappus_tomentosus,-41.75,-13.75
Stilpnopappus_tomentosus,-41.7703654,-12.4222527
Stilpnopappus_tomentosus,-41.468333,-12.467222
Stilpnopappus_tomentosus,-41.99722,-12.18306
Stilpnopappus_tomentosus,-41.82,-13.48
Stilpnopappus_tomentosus,-41.467064,-12.454722
Stilpnopappus_tomentosus,-41.5194,-12.4388
Stilpnopappus_tomentosus,-41.518056,-12.518056
Stilpnopappus_tomentosus,-42.5,-14.066667
Stilpnopappus_tomentosus,-41.890556,-13.287222
Stilpnopappus_tomentosus,-42.550833,-14.697778
Stilpnopappus_tomentosus,-41.1525,-12.136389
Stilpnopappus_tomentosus,-41.002222,-12.056667
Stilpnopappus_tomentosus,-41.888333,-13.379167
Stilpnopappus_tomentosus,-41.886667,-13.377778
Stilpnopappus_tomentosus,-41.889722,-13.377222
Stilpnopappus_tomentosus,-41.312222,-13.679444
Stilpnopappus_tomentosus,-41.857806,-13.480028
Stilpnopappus_tomentosus,-42.535278,-14.693611
Stilpnopappus_tomentosus,-41.484722,-12.536944
Stilpnopappus_tomentosus,-41.836667,-14.215278
Stilpnopappus_tomentosus,-41.808056,-13.155833
Stilpnopappus_tomentosus,-41.853333,-13.095833
Stilpnopappus_tomentosus,-41.855556,-13.096944
Stilpnopappus_tomentosus,-41.318083,-13.691611
Stilpnopappus_tomentosus,-41.3,-13.683333
Stilpnopappus_tomentosus,-41.115,-11.644167
Stilpnopappus_tomentosus,-41.208611,-11.208889
Stilpnopappus_tomentosus,-41.802222,-13.550556
Stilpnopappus_tomentosus,-41.800278,-13.800556
Stilpnopappus_tomentosus,-41.74060371,-13.58892581
Stilpnopappus_tomentosus,-41.800278,-13.550556
Stilpnopappus_tomentosus,-41.87902762,-13.03774692
Stilpnopappus_tomentosus,-41.77744411,-12.79549097
Stilpnopappus_tomentosus,-41.15124931,-11.47369278
Stilpnopappus_tomentosus,-41.208611,-11.592222
Stilpnopappus_tomentosus,-42.54676037,-14.75258842
Stilpnopappus_tomentosus,-42.46647308,-14.59144156
Stilpnopappus_tomentosus,-41.086667,-11.676944
Stilpnopappus_tomentosus,-41.091607,-11.376499
Stilpnopappus_tomentosus,-41.5601595,-12.54557151
Stilpnopappus_tomentosus,-41.14493997,-13.64398123
Stilpnopappus_tomentosus,-41.5,-12.75
Stilpnopappus_tomentosus,-41.745519,-13.185354
Stilpnopappus_tomentosus,-41.316667,-13.683333
Stilpnopappus_tomentosus,-41.73166786,-12.47297852
Stilpnopappus_tomentosus,-41.811389,-13.579167
Stilpnopappus_tomentosus,-41.884675,-13.370759
Stilpnopappus_tomentosus,-41.884167,-13.368611
Stilpnopappus_tomentosus,-41.738889,-13.266694
Stilpnopappus_tomentosus,-41.75,-13.15
Stilpnopappus_tomentosus,-41.733333,-13.266667
Stilpnopappus_tomentosus,-41.883334,-13.366667
Stilpnopappus_tomentosus,-41.472086,-12.459196
Stilpnopappus_tomentosus,-41.85,-13.316667
Stilpnopappus_tomentosus,-41.75,-13.25
Stilpnopappus_tomentosus,-41.73142106,-13.28727065
Stilpnopappus_tomentosus,-41.87,-13.3
Stilpnopappus_tomentosus,-41.86666,-13.3
Stilpnopappus_tomentosus,-41.34499971,-13.37871216
Stilpnopappus_tomentosus,-42.06264319,-13.41291779
Stilpnopappus_tomentosus,-41.98,-13.5
Stilpnopappus_tomentosus,-41.983334,-13.5
Stilpnopappus_tomentosus,-41.98333,-13.5
Stilpnopappus_tomentosus,-41.95,-13.53
Stilpnopappus_tomentosus,-41.95,-13.533333
Stilpnopappus_tomentosus,-42.49628823,-13.9751731
Stilpnopappus_tomentosus,-41.48395519,-13.05221426
Stilpnopappus_tomentosus,-41.306334,-13.182549
Stilpnopappus_tomentosus,-41.42,-13.67
Stilpnopappus_tomentosus,-41.33504042,-12.42069727
Stilpnopappus_tomentosus,-41.47,-12.45
Stilpnopappus_tomentosus,-41.8,-13.066667
Stilpnopappus_tomentosus,-41.15,-11.55
Stilpnopappus_tomentosus,-41.39,-14.186111
Stilpnopappus_tomentosus,-41,-13
Stilpnopappus_tomentosus,-41.923889,-13.7075
Stilpnopappus_tomentosus,-42.355278,-13.953889
Stilpnopappus_tomentosus,-41.99722222,-12.18305556
Stilpnopappus_tomentosus,-42.341111,-13.996944
